Linux 4.4.0-142-generic (vm) 	2024-08-19 	_x86_64_	(1 CPU)

23:45:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:45:10     all   54.46    0.00   21.78    0.00    0.00    0.00    0.00    0.00    0.00   23.76
23:45:11     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
23:45:12     all    1.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
23:45:13     all    0.00    0.00    1.01    6.06    0.00    0.00    0.00    0.00    0.00   92.93
23:45:14     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
23:45:15     all    8.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   87.00
23:45:16     all    1.00   14.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   79.00
23:45:17     all    0.00   98.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23:45:18     all    6.00   10.00   12.00    3.00    0.00    0.00    0.00    0.00    0.00   69.00
23:45:19     all   15.31    0.00    1.02    3.06    0.00    0.00    0.00    0.00    0.00   80.61
23:45:20     all   23.23    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   70.71
23:45:21     all   15.00    0.00    8.00    1.00    0.00    0.00    0.00    0.00    0.00   76.00
23:45:22     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:45:23     all    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
23:45:24     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:45:25     all    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
23:45:26     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:45:27     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
