Linux 4.4.0-142-generic (vmuser) 	11/10/2024 	_x86_64_	(1 CPU)

01:57:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:57:34 AM  all   55.56    0.00   21.21    0.00    0.00    0.00    0.00    0.00    0.00   23.23
01:57:35 AM  all   14.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
01:57:36 AM  all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:57:37 AM  all    0.00    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   94.00
01:57:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:57:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:57:40 AM  all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:57:41 AM  all    0.99    0.00    1.98   11.88    0.00    0.00    0.00    0.00    0.00   85.15
01:57:42 AM  all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:57:43 AM  all    7.07    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   87.88
01:57:44 AM  all    8.00   13.00    9.00   13.00    0.00    0.00    0.00    0.00    0.00   57.00
01:57:45 AM  all   59.00   29.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:46 AM  all   50.00   49.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:47 AM  all   58.00   32.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:48 AM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:49 AM  all   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:50 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:51 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:52 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:53 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:54 AM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:55 AM  all   95.05    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:56 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:57 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:58 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:57:59 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:00 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:01 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:02 AM  all   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:03 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:04 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:05 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:06 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:07 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:08 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:09 AM  all   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:10 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:11 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:12 AM  all   97.83    0.00    2.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:13 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:14 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:15 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:16 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:17 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:18 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:58:19 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
