Linux 4.4.0-142-generic (vmuser) 	11/10/2024 	_x86_64_	(1 CPU)

02:05:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:06:00 AM  all   57.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   23.00
02:06:01 AM  all   18.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   80.00
02:06:02 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:06:03 AM  all    0.00    0.00    0.00   23.00    0.00    0.00    0.00    0.00    0.00   77.00
02:06:04 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:06:05 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:06:06 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:06:07 AM  all    1.00    0.00    2.00   13.00    0.00    0.00    0.00    0.00    0.00   84.00
02:06:08 AM  all    1.01    0.00    2.02   96.97    0.00    0.00    0.00    0.00    0.00    0.00
02:06:09 AM  all    8.00    0.00    6.00   31.00    0.00    0.00    0.00    0.00    0.00   55.00
02:06:10 AM  all    1.02   12.24    7.14   28.57    0.00    0.00    0.00    0.00    0.00   51.02
02:06:11 AM  all    0.00   55.00    3.00   42.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:12 AM  all    3.03   74.75    9.09   13.13    0.00    0.00    0.00    0.00    0.00    0.00
02:06:13 AM  all    6.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
02:06:14 AM  all   28.28    0.00    5.05    3.03    0.00    0.00    0.00    0.00    0.00   63.64
02:06:15 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:06:16 AM  all    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
02:06:17 AM  all    0.00    0.00    0.00   14.14    0.00    0.00    0.00    0.00    0.00   85.86
02:06:18 AM  all   76.24    0.00   11.88   11.88    0.00    0.00    0.00    0.00    0.00    0.00
02:06:19 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:20 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:21 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:22 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:23 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:24 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:25 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:26 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:27 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:28 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:29 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:30 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:31 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:32 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:33 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:06:34 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
