  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:21:25      0.06      0.06
02:21:26      0.00      0.00
02:21:27      0.00      0.00
02:21:28      0.06      0.06
02:21:29      0.00      0.00
02:21:30      0.33      0.00
02:21:31      0.06      0.00
02:21:32      0.12      0.04
02:21:33      0.45      0.00
02:21:34      0.36      0.16
02:21:35      3.51      3.57
02:21:36      0.00      0.00
02:21:37      0.33      0.00
02:21:38      0.00      0.00
02:21:39      0.00      0.00
02:21:40      0.00      0.00
02:21:41      0.00      0.06
02:21:42      0.15      0.84
02:21:43      0.00      0.00
02:21:44      2.00      0.40
02:21:45      1.56      3.50
02:21:46      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:21:47      0.00      0.00
02:21:48      0.33      0.00
02:21:49      0.00      0.00
02:21:50      0.00      0.00
02:21:51      0.33      0.00
02:21:52      0.00      0.00
02:21:53      0.00      0.00
02:21:54      0.00      0.00
02:21:55      0.33      0.00
02:21:56      0.00      0.00
02:21:57      0.00      0.00
02:21:58      0.00      0.00
02:21:59      0.00      0.00
02:22:00      0.00      0.00
02:22:01      0.30      0.00
02:22:02     28.32      1.32
02:22:03      0.12      0.78
02:22:04      0.29      0.00
02:22:05      0.00      0.00
02:22:06      0.49      0.07
02:22:07      0.15      0.19
02:22:08      0.10      0.04
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:22:09      0.43      0.10
02:22:10      3.34      3.53
02:22:11      7.56     23.43
