Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,101.000,9.915,0.700,1.169,11.982,17.884,20.342,21.615,27.623,30.786,0.101
1,117.000,8.664,0.583,0.861,1.227,17.623,20.414,20.852,27.346,28.428,0.115
2,104.000,9.480,0.497,0.720,11.907,18.948,20.666,21.541,27.911,29.153,0.105
3,96.000,10.792,0.550,0.736,11.902,18.948,21.139,24.005,61.169,61.169,0.093
4,78.000,12.395,0.550,0.817,11.935,19.377,21.539,29.107,92.559,92.559,0.081
5,99.000,10.119,0.492,0.817,11.933,18.899,20.836,22.810,29.709,29.709,0.099
6,107.000,9.300,0.456,0.731,4.445,17.741,20.316,20.795,48.479,63.399,0.108
7,124.000,7.986,0.468,0.582,11.304,13.325,19.539,20.465,21.630,28.701,0.125
8,109.000,9.408,0.446,0.769,11.975,13.331,20.054,21.014,29.047,29.144,0.106
9,108.000,9.465,0.442,0.654,11.912,13.247,20.626,24.077,27.988,51.993,0.106
10,119.000,8.135,0.448,0.533,0.811,16.223,19.739,20.938,29.142,49.268,0.123
11,122.000,8.182,0.444,0.804,1.257,17.495,19.735,20.636,21.575,36.362,0.122
12,103.000,9.603,0.655,0.930,11.979,18.530,20.460,20.698,29.073,37.279,0.104
13,125.000,8.076,0.628,0.915,1.108,16.498,19.640,20.807,21.935,28.035,0.124
14,115.000,8.663,0.676,0.985,1.153,17.712,19.904,20.680,21.662,25.311,0.115
15,96.000,10.429,0.841,1.064,11.928,19.344,20.489,21.534,28.707,28.707,0.096
16,102.000,9.675,0.776,1.038,1.162,19.115,20.403,20.684,59.182,59.384,0.103
17,106.000,9.434,0.778,1.066,11.884,18.360,20.471,25.720,27.767,29.013,0.106
18,125.000,8.147,0.597,0.821,0.976,16.490,20.396,21.006,27.933,27.936,0.123
19,117.000,8.402,0.498,0.807,1.833,16.341,20.281,20.950,25.345,47.324,0.119
20,128.000,7.820,0.465,0.633,0.959,13.387,19.670,20.483,21.787,27.914,0.128
21,127.000,7.805,0.490,0.547,0.849,13.307,19.606,20.697,29.553,39.619,0.128
22,121.000,8.595,0.468,0.715,1.346,13.590,19.975,20.812,29.080,68.095,0.116
23,113.000,8.615,0.485,0.725,0.901,17.346,20.373,21.552,29.179,34.728,0.116
24,104.000,9.562,0.456,0.519,11.852,18.422,20.816,21.554,30.373,44.715,0.105
25,124.000,8.052,0.455,0.488,11.474,13.222,19.330,20.418,21.626,33.962,0.124
26,114.000,8.717,0.448,0.484,11.969,13.344,20.197,20.819,22.554,29.498,0.115
27,118.000,8.509,0.564,0.629,0.941,18.008,20.394,20.941,28.702,29.352,0.118
28,114.000,8.806,0.565,0.694,1.005,18.618,20.492,20.870,27.860,28.025,0.114
29,98.000,10.148,0.635,0.740,11.801,18.870,20.869,28.926,70.137,70.137,0.099
30,108.000,9.372,0.646,0.942,11.900,18.590,20.400,21.566,28.684,30.113,0.107
31,118.000,8.362,0.443,0.508,11.318,13.250,20.802,21.064,29.056,29.174,0.120
32,143.000,7.000,0.460,0.686,0.953,13.341,19.283,20.308,21.650,27.084,0.143
33,112.000,8.941,0.594,0.801,11.969,17.324,19.698,20.905,21.646,27.767,0.112
34,122.000,8.097,0.448,0.761,0.974,13.342,19.590,20.719,21.631,25.859,0.124
35,88.000,11.305,0.515,0.813,11.937,19.445,21.524,26.104,86.987,86.987,0.088
36,105.000,9.544,0.613,0.764,11.913,17.673,20.412,21.046,34.375,49.555,0.105
37,105.000,9.586,0.359,0.675,0.967,19.232,21.342,27.535,30.066,35.374,0.104
38,115.000,8.610,0.442,0.537,0.749,17.595,20.578,28.669,43.670,53.722,0.116
