Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,109.000,9.314,0.726,1.055,11.654,18.247,20.148,20.384,21.335,29.322,0.107
1,123.000,8.095,0.546,0.859,2.394,13.077,19.038,19.181,20.305,21.353,0.124
2,125.000,7.990,0.524,0.783,1.705,13.103,19.361,20.557,21.361,21.385,0.125
3,139.000,7.177,0.501,0.780,1.239,13.059,19.146,19.623,20.558,20.757,0.139
4,120.000,8.277,0.474,0.781,11.672,13.044,19.260,20.506,21.439,22.957,0.121
5,106.000,9.403,0.474,0.754,11.675,17.705,20.079,20.775,47.651,54.182,0.106
6,122.000,8.312,0.467,0.696,11.187,13.018,19.218,20.513,27.022,28.299,0.120
7,113.000,8.802,0.435,0.920,11.676,16.975,19.328,20.363,21.340,21.533,0.114
8,129.000,7.721,0.611,0.930,1.009,16.529,19.232,20.322,23.846,31.127,0.130
9,127.000,7.857,0.709,0.936,1.003,14.121,20.272,20.453,23.854,24.281,0.127
10,112.000,8.830,0.693,0.919,11.687,18.170,19.823,20.396,20.584,22.153,0.113
11,94.000,10.637,0.839,3.531,5.397,20.013,20.969,21.399,24.659,24.659,0.094
12,70.000,14.288,3.873,5.447,16.408,21.088,23.335,24.863,79.652,79.652,0.070
13,85.000,11.923,4.266,5.011,5.707,20.016,21.391,23.098,29.557,29.557,0.084
14,62.000,16.149,4.859,5.557,20.040,21.359,23.281,24.670,30.351,30.351,0.062
15,75.000,13.160,4.947,5.531,6.429,20.669,23.103,23.986,26.622,26.622,0.076
16,76.000,13.119,4.861,5.540,6.201,21.348,22.856,23.789,24.097,24.097,0.076
17,84.000,11.927,0.650,5.533,6.216,20.694,22.889,23.795,32.065,32.065,0.084
18,72.000,13.887,4.967,5.853,18.272,21.360,22.625,23.467,25.697,25.697,0.072
19,72.000,13.810,4.979,5.625,16.752,21.362,23.500,24.668,37.999,37.999,0.072
20,109.000,9.182,0.491,0.969,11.581,13.071,19.325,20.117,24.015,68.318,0.109
21,108.000,9.249,0.483,0.787,11.315,17.476,19.784,20.746,46.394,56.890,0.108
22,125.000,8.036,0.457,0.749,11.900,13.239,19.463,20.455,20.900,23.723,0.124
23,128.000,7.722,0.474,0.684,0.839,13.335,19.286,19.986,20.950,21.650,0.130
24,108.000,9.316,0.460,0.786,11.996,17.147,20.541,20.870,22.606,25.278,0.107
25,125.000,7.999,0.804,1.094,2.722,14.150,19.458,20.320,23.656,24.149,0.125
26,113.000,8.805,0.625,0.901,2.077,16.340,20.396,21.355,30.382,41.216,0.114
27,117.000,8.443,0.630,0.853,0.966,14.822,19.555,20.769,47.114,54.616,0.118
28,131.000,7.728,0.457,0.749,0.955,13.247,19.323,20.593,22.339,28.347,0.129
