
Second: 1 | Number of Sorts: 519
Second: 2 | Number of Sorts: 125930
Second: 3 | Number of Sorts: 130073
Second: 4 | Number of Sorts: 170323
Second: 5 | Number of Sorts: 179747
Second: 6 | Number of Sorts: 180331
Second: 7 | Number of Sorts: 179821
Second: 8 | Number of Sorts: 179145
Second: 9 | Number of Sorts: 179534
Second: 10 | Number of Sorts: 179982
Second: 11 | Number of Sorts: 142471
Second: 12 | Number of Sorts: 171051
Second: 13 | Number of Sorts: 179912
Second: 14 | Number of Sorts: 180105
Second: 15 | Number of Sorts: 180227
Second: 16 | Number of Sorts: 179921
Second: 17 | Number of Sorts: 179354
Second: 18 | Number of Sorts: 180240
Second: 19 | Number of Sorts: 180020
Second: 20 | Number of Sorts: 180263
Second: 21 | Number of Sorts: 180296
Second: 22 | Number of Sorts: 176678
Second: 23 | Number of Sorts: 174356
Second: 24 | Number of Sorts: 177042
Second: 25 | Number of Sorts: 176901
Second: 26 | Number of Sorts: 173497
Second: 27 | Number of Sorts: 174274
Second: 28 | Number of Sorts: 172113
Second: 29 | Number of Sorts: 172208
Second: 30 | Number of Sorts: 172148
Second: 31 | Number of Sorts: 171770
Second: 32 | Number of Sorts: 167334
Second: 33 | Number of Sorts: 168079
Second: 34 | Number of Sorts: 167642
Second: 35 | Number of Sorts: 167600
Second: 36 | Number of Sorts: 170840
Second: 37 | Number of Sorts: 172205
Second: 38 | Number of Sorts: 172537
Second: 39 | Number of Sorts: 172376
Second: 40 | Number of Sorts: 172408
Second: 41 | Number of Sorts: 172381
Second: 42 | Number of Sorts: 171446
Second: 43 | Number of Sorts: 172540
Second: 44 | Number of Sorts: 172237
Second: 45 | Number of Sorts: 172298
Second: 46 | Number of Sorts: 172277
Second: 47 | Number of Sorts: 165792
Second: 48 | Number of Sorts: 168119
Second: 49 | Number of Sorts: 168360
Second: 50 | Number of Sorts: 168097
Second: 51 | Number of Sorts: 168069
Second: 52 | Number of Sorts: 166603
Second: 53 | Number of Sorts: 167698
Second: 54 | Number of Sorts: 168096
Second: 55 | Number of Sorts: 169319
Second: 56 | Number of Sorts: 159056
Second: 57 | Number of Sorts: 130016
Second: 58 | Number of Sorts: 135786
Second: 59 | Number of Sorts: 158695
Second: 60 | Number of Sorts: 179724
Second: 61 | Number of Sorts: 180053
Second: 62 | Number of Sorts: 179835
Second: 63 | Number of Sorts: 179747
Second: 64 | Number of Sorts: 179965
Second: 65 | Number of Sorts: 179460
Second: 66 | Number of Sorts: 179375
Second: 67 | Number of Sorts: 179944
Second: 68 | Number of Sorts: 179249
Second: 69 | Number of Sorts: 179871
Second: 70 | Number of Sorts: 179826
Second: 71 | Number of Sorts: 178301
