
Second: 1 | Number of Sorts: 355
Second: 2 | Number of Sorts: 113999
Second: 3 | Number of Sorts: 123164
Second: 4 | Number of Sorts: 159342
Second: 5 | Number of Sorts: 179360
Second: 6 | Number of Sorts: 178707
Second: 7 | Number of Sorts: 179270
Second: 8 | Number of Sorts: 179243
Second: 9 | Number of Sorts: 179533
Second: 10 | Number of Sorts: 179492
Second: 11 | Number of Sorts: 138944
Second: 12 | Number of Sorts: 175430
Second: 13 | Number of Sorts: 179295
Second: 14 | Number of Sorts: 178695
Second: 15 | Number of Sorts: 178860
Second: 16 | Number of Sorts: 178816
Second: 17 | Number of Sorts: 170395
Second: 18 | Number of Sorts: 161917
Second: 19 | Number of Sorts: 163144
Second: 20 | Number of Sorts: 162358
Second: 21 | Number of Sorts: 155694
Second: 22 | Number of Sorts: 160966
Second: 23 | Number of Sorts: 160844
Second: 24 | Number of Sorts: 161204
Second: 25 | Number of Sorts: 161076
Second: 26 | Number of Sorts: 157500
Second: 27 | Number of Sorts: 121272
Second: 28 | Number of Sorts: 133468
Second: 29 | Number of Sorts: 147358
Second: 30 | Number of Sorts: 174913
Second: 31 | Number of Sorts: 175986
Second: 32 | Number of Sorts: 173651
Second: 33 | Number of Sorts: 173798
Second: 34 | Number of Sorts: 177696
Second: 35 | Number of Sorts: 179158
Second: 36 | Number of Sorts: 179308
