
Second: 1 | Number of Sorts: 372
Second: 2 | Number of Sorts: 123434
Second: 3 | Number of Sorts: 127326
Second: 4 | Number of Sorts: 166269
Second: 5 | Number of Sorts: 176606
Second: 6 | Number of Sorts: 176095
Second: 7 | Number of Sorts: 176643
Second: 8 | Number of Sorts: 176792
Second: 9 | Number of Sorts: 177102
Second: 10 | Number of Sorts: 176780
Second: 11 | Number of Sorts: 135480
Second: 12 | Number of Sorts: 171501
Second: 13 | Number of Sorts: 176673
Second: 14 | Number of Sorts: 176748
Second: 15 | Number of Sorts: 176791
Second: 16 | Number of Sorts: 177065
Second: 17 | Number of Sorts: 166697
Second: 18 | Number of Sorts: 165983
Second: 19 | Number of Sorts: 165601
Second: 20 | Number of Sorts: 165855
Second: 21 | Number of Sorts: 165181
Second: 22 | Number of Sorts: 165473
Second: 23 | Number of Sorts: 165479
Second: 24 | Number of Sorts: 109590
Second: 25 | Number of Sorts: 123625
Second: 26 | Number of Sorts: 131113
Second: 27 | Number of Sorts: 153145
Second: 28 | Number of Sorts: 176754
Second: 29 | Number of Sorts: 177106
Second: 30 | Number of Sorts: 176764
Second: 31 | Number of Sorts: 176923
Second: 32 | Number of Sorts: 176490
Second: 33 | Number of Sorts: 176905
Second: 34 | Number of Sorts: 176521
Second: 35 | Number of Sorts: 176685
