Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,104.000,9.737,1.022,1.258,1.842,19.070,21.550,27.288,29.748,31.550,0.103
1,114.000,8.763,0.799,1.110,11.734,16.577,19.256,20.398,25.899,27.441,0.114
2,128.000,7.726,0.786,1.042,1.137,13.365,19.232,20.431,20.644,21.677,0.129
3,130.000,7.658,0.614,0.997,1.195,15.860,19.382,19.811,20.661,20.764,0.131
4,115.000,8.713,0.478,0.913,1.171,17.830,20.561,24.260,32.518,36.129,0.115
5,109.000,9.230,0.471,1.001,11.919,18.338,19.609,20.401,25.203,29.055,0.108
6,92.000,10.790,0.490,0.998,11.939,18.572,21.529,27.286,60.986,60.986,0.093
7,99.000,10.090,0.494,1.003,11.931,18.230,20.532,20.829,26.902,26.902,0.099
8,118.000,8.486,0.480,0.969,1.406,16.860,19.508,20.622,25.890,30.110,0.118
9,104.000,9.604,0.453,0.982,12.016,16.408,19.851,21.039,23.391,23.961,0.104
10,139.000,7.226,0.414,0.842,1.013,13.337,19.398,20.803,26.481,26.598,0.138
11,81.000,12.333,1.840,5.104,5.915,20.428,23.576,25.006,31.000,31.000,0.081
12,78.000,12.700,4.434,5.388,6.065,20.269,22.293,24.347,31.123,31.123,0.079
13,67.000,15.057,4.428,5.526,6.090,21.558,28.708,32.455,72.872,72.872,0.066
14,71.000,13.931,4.571,5.544,6.094,21.846,24.502,29.852,33.112,33.112,0.072
15,69.000,14.720,4.433,5.622,19.878,21.568,24.624,27.587,29.883,29.883,0.068
16,69.000,14.386,4.481,5.669,19.068,21.553,23.984,24.404,25.560,25.560,0.070
17,69.000,14.356,4.390,5.564,18.979,21.599,24.372,25.384,33.715,33.715,0.070
18,59.000,17.072,1.145,6.061,20.280,21.616,23.381,32.727,77.447,77.447,0.059
19,116.000,8.544,0.473,0.959,2.251,17.378,20.470,20.740,21.786,22.224,0.117
20,111.000,9.035,0.689,0.946,1.446,17.658,20.692,24.323,28.177,28.392,0.111
21,111.000,9.031,0.471,0.852,1.023,18.603,20.570,21.560,47.126,57.643,0.111
22,105.000,9.420,0.460,0.895,11.678,18.186,20.541,21.722,34.962,35.859,0.106
23,97.000,10.411,0.454,0.875,11.665,19.204,25.377,28.827,36.750,36.750,0.096
24,117.000,8.500,0.513,0.982,1.171,17.652,19.982,20.613,29.576,30.189,0.118
25,120.000,8.377,0.536,0.941,6.402,15.741,19.325,20.245,25.288,28.504,0.119
26,131.000,7.539,0.475,0.863,1.035,13.760,20.192,21.389,34.704,56.740,0.133
27,116.000,8.641,0.454,0.840,10.989,18.094,20.163,20.639,26.789,29.679,0.116
28,98.000,10.309,0.395,0.867,11.689,18.195,21.340,28.476,51.598,51.598,0.097
29,79.000,12.710,0.452,0.881,11.711,20.123,27.558,34.958,135.329,135.329,0.079
30,95.000,10.417,0.459,0.943,11.551,19.795,26.627,27.837,34.609,34.609,0.096
31,108.000,9.254,0.446,0.956,1.113,18.279,22.294,27.630,35.110,44.382,0.108
32,124.000,8.206,0.477,0.897,1.053,16.881,20.002,26.564,35.839,37.024,0.122
33,103.000,9.322,0.471,0.837,11.664,17.907,20.406,21.393,29.167,30.773,0.107
34,117.000,8.527,0.454,0.834,0.997,18.166,20.132,21.359,28.540,28.909,0.117
35,117.000,8.625,0.374,0.665,1.486,13.033,19.321,21.410,52.020,52.101,0.116
36,109.000,9.105,0.396,0.471,11.274,13.041,20.179,21.373,35.941,36.834,0.110
