Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,109.000,9.262,0.710,1.069,3.096,16.148,22.162,28.808,32.522,44.772,0.108
1,129.000,7.676,0.541,0.913,1.212,16.316,19.358,20.278,28.746,37.683,0.130
2,119.000,8.438,0.578,1.048,1.831,16.901,19.148,20.211,25.414,26.413,0.119
3,104.000,9.549,0.597,1.054,11.722,18.218,20.040,21.346,27.381,27.989,0.105
4,104.000,9.675,0.466,1.002,11.556,19.041,20.560,21.491,29.015,29.820,0.103
5,93.000,10.770,0.469,1.011,11.680,18.979,20.775,28.093,37.106,37.106,0.093
6,85.000,11.873,0.469,0.962,11.608,19.078,27.536,28.769,87.176,87.176,0.084
7,92.000,10.859,0.438,0.877,11.671,19.126,27.570,35.495,43.776,43.776,0.092
8,104.000,9.406,0.457,0.879,1.085,19.020,21.319,27.496,35.467,37.121,0.106
9,95.000,10.650,0.465,0.981,11.726,18.998,20.613,23.736,30.165,30.165,0.094
10,115.000,8.709,0.466,0.943,1.606,18.053,19.610,20.637,28.281,29.718,0.115
11,86.000,11.620,0.619,4.434,5.557,20.091,23.356,24.468,30.164,30.164,0.086
12,77.000,12.874,3.248,4.696,5.544,20.053,21.404,25.946,79.670,79.670,0.078
13,85.000,11.731,4.922,5.525,5.779,20.050,22.622,24.330,32.393,32.393,0.085
14,92.000,10.869,0.640,4.284,5.592,19.668,24.397,28.203,35.835,35.835,0.092
15,57.000,17.696,4.583,6.075,20.036,23.182,31.353,37.291,51.233,51.233,0.057
16,65.000,15.283,4.902,6.052,18.592,21.772,28.910,29.841,49.545,49.545,0.065
17,68.000,14.888,4.986,6.082,16.514,21.354,28.376,29.902,52.700,52.700,0.067
18,68.000,14.474,4.987,5.538,17.417,21.331,28.335,29.656,39.928,39.928,0.069
19,65.000,15.584,4.962,5.544,18.424,21.327,28.493,29.671,37.903,37.903,0.064
20,68.000,14.786,4.793,5.533,5.884,22.867,28.673,29.734,65.138,65.138,0.068
21,131.000,7.522,0.460,0.516,0.708,13.041,19.400,20.864,50.117,60.312,0.133
22,117.000,8.539,0.451,0.525,11.210,13.037,20.023,20.689,28.526,36.764,0.117
23,120.000,8.225,0.445,0.552,1.419,15.088,20.043,21.393,28.849,33.548,0.122
24,117.000,8.644,0.459,0.835,1.762,13.094,20.217,25.877,29.101,35.205,0.116
25,98.000,10.103,0.485,0.736,11.126,18.340,21.314,29.661,43.141,43.141,0.099
26,108.000,9.197,0.468,0.521,11.218,17.692,20.568,26.123,28.789,39.145,0.109
27,105.000,9.606,0.463,0.579,11.684,13.060,20.326,26.534,29.146,39.093,0.104
28,106.000,9.351,0.399,0.487,11.056,13.049,20.894,21.480,52.113,85.234,0.107
29,106.000,9.509,0.438,0.487,11.239,12.901,20.015,21.348,28.545,145.360,0.105
30,135.000,7.341,0.398,0.494,0.964,12.563,19.177,20.593,27.101,28.746,0.136
31,118.000,8.601,0.460,0.917,1.746,17.297,20.021,21.356,35.175,39.250,0.116
32,94.000,10.543,0.451,0.942,11.706,18.614,20.613,28.405,47.789,47.789,0.095
33,90.000,11.041,0.455,0.865,11.729,19.023,26.917,28.707,29.651,29.651,0.091
34,90.000,11.075,0.457,0.939,11.666,18.650,26.531,29.054,70.579,70.579,0.090
35,117.000,8.562,0.426,0.748,0.953,18.561,20.193,26.293,28.872,38.123,0.117
36,109.000,9.143,0.448,0.871,0.988,19.067,20.405,21.460,27.001,27.498,0.109
37,114.000,8.887,0.437,0.946,11.645,17.951,19.381,20.385,21.505,21.589,0.113
38,112.000,8.925,0.456,0.538,1.879,18.696,20.334,21.315,29.111,66.368,0.112
39,128.000,7.763,0.474,0.957,1.089,17.281,19.603,20.170,21.230,27.523,0.129
40,108.000,9.304,0.467,0.922,11.540,18.126,20.458,27.764,28.825,28.921,0.107
41,91.000,10.902,0.443,0.776,1.035,19.347,26.329,35.620,58.420,58.420,0.092
42,111.000,8.923,0.441,0.741,0.981,18.071,20.503,25.812,28.993,36.086,0.112
43,102.000,9.903,0.451,0.900,11.685,18.879,20.555,27.532,29.670,35.636,0.101
44,116.000,8.591,0.401,0.804,1.130,17.247,20.473,21.357,28.388,28.827,0.116
45,121.000,8.231,0.390,0.476,11.070,13.047,20.041,20.853,26.647,30.125,0.121
46,139.000,7.258,0.461,0.717,0.973,13.040,19.396,20.678,23.394,27.565,0.138
47,95.000,10.579,0.468,0.923,11.712,19.008,20.611,27.631,57.565,57.565,0.095
48,104.000,9.458,0.446,0.925,11.712,19.050,20.419,21.551,28.050,28.060,0.106
49,116.000,8.634,0.444,0.781,0.959,17.380,20.136,21.352,35.792,44.661,0.116
50,105.000,9.503,0.452,0.934,11.702,13.020,19.336,21.313,29.674,37.006,0.105
51,110.000,9.142,0.458,0.839,0.964,18.846,20.582,27.881,35.790,39.510,0.109
52,100.000,9.898,0.459,0.872,11.705,18.969,21.310,27.049,29.263,29.263,0.101
53,116.000,8.622,0.468,0.887,0.997,18.123,20.295,22.081,28.522,28.705,0.116
54,115.000,8.782,0.457,0.875,0.979,16.471,19.687,21.390,55.457,56.787,0.114
55,120.000,8.256,0.450,0.937,0.966,17.174,19.462,20.415,20.607,28.795,0.121
56,89.000,11.285,0.444,0.943,11.963,19.349,21.551,26.827,36.075,36.075,0.089
57,115.000,8.721,0.453,0.840,0.972,18.206,19.787,21.549,28.110,28.775,0.115
58,113.000,8.787,0.452,0.859,0.971,17.471,19.846,20.921,35.085,47.004,0.114
59,106.000,9.298,0.453,0.815,11.977,18.513,20.492,20.711,27.778,28.039,0.108
