
Second: 1 | Number of Sorts: 496
Second: 2 | Number of Sorts: 119883
Second: 3 | Number of Sorts: 119988
Second: 4 | Number of Sorts: 158886
Second: 5 | Number of Sorts: 180379
Second: 6 | Number of Sorts: 180238
Second: 7 | Number of Sorts: 180290
Second: 8 | Number of Sorts: 179873
Second: 9 | Number of Sorts: 180232
Second: 10 | Number of Sorts: 180048
Second: 11 | Number of Sorts: 139348
Second: 12 | Number of Sorts: 173773
Second: 13 | Number of Sorts: 179876
Second: 14 | Number of Sorts: 179546
Second: 15 | Number of Sorts: 180243
Second: 16 | Number of Sorts: 179527
Second: 17 | Number of Sorts: 179243
Second: 18 | Number of Sorts: 179888
Second: 19 | Number of Sorts: 180037
Second: 20 | Number of Sorts: 175415
Second: 21 | Number of Sorts: 178384
Second: 22 | Number of Sorts: 161371
Second: 23 | Number of Sorts: 89504
Second: 24 | Number of Sorts: 93732
Second: 25 | Number of Sorts: 87188
Second: 26 | Number of Sorts: 88195
Second: 27 | Number of Sorts: 88880
Second: 28 | Number of Sorts: 91151
Second: 29 | Number of Sorts: 92391
Second: 30 | Number of Sorts: 92109
Second: 31 | Number of Sorts: 92132
Second: 32 | Number of Sorts: 92702
Second: 33 | Number of Sorts: 93316
Second: 34 | Number of Sorts: 93208
Second: 35 | Number of Sorts: 93080
Second: 36 | Number of Sorts: 92834
Second: 37 | Number of Sorts: 93746
Second: 38 | Number of Sorts: 93853
Second: 39 | Number of Sorts: 94078
Second: 40 | Number of Sorts: 94412
Second: 41 | Number of Sorts: 96043
Second: 42 | Number of Sorts: 93665
Second: 43 | Number of Sorts: 116061
Second: 44 | Number of Sorts: 134036
Second: 45 | Number of Sorts: 147086
Second: 46 | Number of Sorts: 176067
Second: 47 | Number of Sorts: 174823
Second: 48 | Number of Sorts: 180023
Second: 49 | Number of Sorts: 180128
Second: 50 | Number of Sorts: 180164
Second: 51 | Number of Sorts: 179797
Second: 52 | Number of Sorts: 180238
Second: 53 | Number of Sorts: 180197
Second: 54 | Number of Sorts: 180443
Second: 55 | Number of Sorts: 180230
Second: 56 | Number of Sorts: 180277
Second: 57 | Number of Sorts: 180311
Second: 58 | Number of Sorts: 180258
Second: 59 | Number of Sorts: 179889
Second: 60 | Number of Sorts: 179858
Second: 61 | Number of Sorts: 178023
