
Second: 1 | Number of Sorts: 610
Second: 2 | Number of Sorts: 123288
Second: 3 | Number of Sorts: 125823
Second: 4 | Number of Sorts: 162353
Second: 5 | Number of Sorts: 174463
Second: 6 | Number of Sorts: 174658
Second: 7 | Number of Sorts: 175002
Second: 8 | Number of Sorts: 175105
Second: 9 | Number of Sorts: 174872
Second: 10 | Number of Sorts: 175167
Second: 11 | Number of Sorts: 138238
Second: 12 | Number of Sorts: 168525
Second: 13 | Number of Sorts: 175147
Second: 14 | Number of Sorts: 174940
Second: 15 | Number of Sorts: 175251
Second: 16 | Number of Sorts: 175093
Second: 17 | Number of Sorts: 88351
Second: 18 | Number of Sorts: 86031
Second: 19 | Number of Sorts: 83021
Second: 20 | Number of Sorts: 81719
Second: 21 | Number of Sorts: 83467
Second: 22 | Number of Sorts: 84354
Second: 23 | Number of Sorts: 93044
Second: 24 | Number of Sorts: 150430
Second: 25 | Number of Sorts: 174647
Second: 26 | Number of Sorts: 175487
Second: 27 | Number of Sorts: 175522
Second: 28 | Number of Sorts: 175538
Second: 29 | Number of Sorts: 172715
Second: 30 | Number of Sorts: 174737
Second: 31 | Number of Sorts: 166664
Second: 32 | Number of Sorts: 169154
Second: 33 | Number of Sorts: 159641
Second: 34 | Number of Sorts: 175369
Second: 35 | Number of Sorts: 173709
