
Second: 1 | Number of Sorts: 492
Second: 2 | Number of Sorts: 126376
Second: 3 | Number of Sorts: 129943
Second: 4 | Number of Sorts: 168966
Second: 5 | Number of Sorts: 179650
Second: 6 | Number of Sorts: 180156
Second: 7 | Number of Sorts: 180355
Second: 8 | Number of Sorts: 180635
Second: 9 | Number of Sorts: 180389
Second: 10 | Number of Sorts: 180131
Second: 11 | Number of Sorts: 141012
Second: 12 | Number of Sorts: 174805
Second: 13 | Number of Sorts: 180119
Second: 14 | Number of Sorts: 179961
Second: 15 | Number of Sorts: 179931
Second: 16 | Number of Sorts: 179830
Second: 17 | Number of Sorts: 170132
Second: 18 | Number of Sorts: 170079
Second: 19 | Number of Sorts: 169733
Second: 20 | Number of Sorts: 168451
Second: 21 | Number of Sorts: 167873
Second: 22 | Number of Sorts: 168562
Second: 23 | Number of Sorts: 168803
Second: 24 | Number of Sorts: 168884
Second: 25 | Number of Sorts: 168392
Second: 26 | Number of Sorts: 168664
Second: 27 | Number of Sorts: 122131
Second: 28 | Number of Sorts: 133383
Second: 29 | Number of Sorts: 155451
Second: 30 | Number of Sorts: 178654
Second: 31 | Number of Sorts: 179467
Second: 32 | Number of Sorts: 178914
Second: 33 | Number of Sorts: 178718
Second: 34 | Number of Sorts: 171763
Second: 35 | Number of Sorts: 174388
Second: 36 | Number of Sorts: 177863
Second: 37 | Number of Sorts: 178872
Second: 38 | Number of Sorts: 179278
Second: 39 | Number of Sorts: 180087
Second: 40 | Number of Sorts: 180454
Second: 41 | Number of Sorts: 179668
Second: 42 | Number of Sorts: 180043
Second: 43 | Number of Sorts: 179192
Second: 44 | Number of Sorts: 178323
Second: 45 | Number of Sorts: 179296
