Time: 13:22:28 | Second: 1 | Number of Sorts: 583
Time: 13:22:29 | Second: 2 | Number of Sorts: 126777
Time: 13:22:30 | Second: 3 | Number of Sorts: 128905
Time: 13:22:31 | Second: 4 | Number of Sorts: 169503
Time: 13:22:32 | Second: 5 | Number of Sorts: 179458
Time: 13:22:33 | Second: 6 | Number of Sorts: 179537
Time: 13:22:34 | Second: 7 | Number of Sorts: 179402
Time: 13:22:35 | Second: 8 | Number of Sorts: 179689
Time: 13:22:36 | Second: 9 | Number of Sorts: 179687
Time: 13:22:37 | Second: 10 | Number of Sorts: 179230
Time: 13:22:38 | Second: 11 | Number of Sorts: 140548
Time: 13:22:39 | Second: 12 | Number of Sorts: 173435
Time: 13:22:40 | Second: 13 | Number of Sorts: 179990
Time: 13:22:41 | Second: 14 | Number of Sorts: 179640
Time: 13:22:42 | Second: 15 | Number of Sorts: 179861
Time: 13:22:43 | Second: 16 | Number of Sorts: 179719
Time: 13:22:44 | Second: 17 | Number of Sorts: 179020
Time: 13:22:45 | Second: 18 | Number of Sorts: 179644
Time: 13:22:46 | Second: 19 | Number of Sorts: 179721
Time: 13:22:47 | Second: 20 | Number of Sorts: 179083
Time: 13:22:48 | Second: 21 | Number of Sorts: 179695
Time: 13:22:49 | Second: 22 | Number of Sorts: 172757
Time: 13:22:50 | Second: 23 | Number of Sorts: 151787
Time: 13:22:51 | Second: 24 | Number of Sorts: 107410
Time: 13:22:52 | Second: 25 | Number of Sorts: 106761
Time: 13:22:53 | Second: 26 | Number of Sorts: 106435
Time: 13:22:54 | Second: 27 | Number of Sorts: 105832
Time: 13:22:55 | Second: 28 | Number of Sorts: 105837
Time: 13:22:56 | Second: 29 | Number of Sorts: 114895
Time: 13:22:57 | Second: 30 | Number of Sorts: 162024
Time: 13:22:58 | Second: 31 | Number of Sorts: 179241
Time: 13:22:59 | Second: 32 | Number of Sorts: 179677
Time: 13:23:00 | Second: 33 | Number of Sorts: 175470
Time: 13:23:01 | Second: 34 | Number of Sorts: 179844
Time: 13:23:02 | Second: 35 | Number of Sorts: 179866
Time: 13:23:03 | Second: 36 | Number of Sorts: 179766
Time: 13:23:04 | Second: 37 | Number of Sorts: 179481
Time: 13:23:05 | Second: 38 | Number of Sorts: 179439
Time: 13:23:06 | Second: 39 | Number of Sorts: 179907
Time: 13:23:07 | Second: 40 | Number of Sorts: 179804
Time: 13:23:08 | Second: 41 | Number of Sorts: 171353
