Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,3,104,30617,8607571968,0,5,0,484.66539726922326,1854480925,1790039,0,0,1834786816,447946,18573
2,3,4,107,28961,8607571968,0,5,0,468.71538349967193,1696361536,1777218,0,0,1677090816,409446,41618
3,3,4,70,29370,8607571968,0,5,0,472.7132866580399,1734999913,1772115,0,0,1715699712,418872,21983
4,3,5,80,28492,8607571968,0,5,0,459.0083566539123,1634258998,1783056,0,0,1615056896,394301,10590
5,3,4,49,28361,8607571968,0,5,0,456.2835312621222,1617141628,1784470,0,0,1597960192,390127,10508
6,2,4,76,28274,8607571968,0,4,0,445.1152,1572713480,1776914,0,0,1553686528,379318,6903
7,3,5,50,29056,8607571968,0,5,0,453.2316882723486,1645641838,1779224,0,0,1626451968,397083,11822
8,3,4,76,28889,8607571968,0,5,0,463.2475446771681,1672400782,1781600,0,0,1653137408,403598,7495
9,3,4,94,28481,8607571968,0,5,0,457.4349887979773,1628084638,1785120,0,0,1608876032,392792,10692
10,3,4,61,28891,8607571968,0,5,0,451.65175615328695,1630645651,1785133,0,0,1611431936,393416,18475
