Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,4,87,25472,8607571968,0,5,0,479.1236673472593,1525077811,1795549,0,0,1505976320,367670,40607
2,4,4,171,31155,8607571968,0,6,0,503.6021431093705,1960751385,1780171,0,0,1940938752,473862,70415
3,4,6,101,31944,8607571968,0,6,0,510.85274644623956,2039239467,1782805,0,0,2019250176,492981,65508
4,5,5,171,31136,8607571968,0,7,0,534.0413642992515,2077942778,1789932,0,0,2057814016,502396,41385
5,3,5,94,27053,8607571968,0,5,0,437.2610771960958,1478167318,1799000,0,0,1459126272,356232,30475
6,5,4,162,31629,8607571968,0,7,0,509.7845651225296,2015029673,1779123,0,0,1995120640,487090,73037
7,4,4,124,32490,8607571968,0,6,0,514.094637443822,2087397389,1782522,0,0,2067316736,504716,73965
8,5,4,91,30729,8607571968,0,7,0,510.6832213506916,1961130311,1793089,0,0,1941200896,473926,27789
9,4,4,118,30565,8607571968,0,6,0,535.132139655116,2044059255,1786641,0,0,2024026112,494147,33860
10,5,4,125,31450,8607571968,0,7,0,527.0113471983718,2071337417,1797003,0,0,2051158016,500771,39566
