Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,5,73,29443,8607571968,0,5,0,481.92430464026086,1773148576,1758666,0,0,1753415680,428080,25653
2,4,5,69,31312,8607571968,0,6,0,508.9354536685086,1991442871,1768470,0,0,1971195904,481249,56908
3,4,4,73,30791,8607571968,0,6,0,515.3645647838374,1983103697,1740636,0,0,1963282432,479317,26679
4,2,5,120,28402,8607571968,0,4,0,462.3482860865584,1640950677,1769628,0,0,1621536768,395883,10637
5,5,5,48,30769,8607571968,0,7,0,511.7895454427252,1967874261,1762766,0,0,1946513408,475223,44551
6,4,4,77,32845,8607571968,0,6,0,517.2542677750373,2123181016,1772566,0,0,2102493184,513304,92814
7,3,4,51,29673,8607571968,0,5,0,468.647376858,1737824994,1763127,0,0,1718595584,419579,22279
8,4,4,107,31546,8607571968,0,6,0,514.7797664066958,2029435514,1763098,0,0,2009133056,490511,64681
9,3,4,63,27947,8607571968,0,5,0,454.6460153884694,1587809317,1775466,0,0,1568755712,382997,37323
10,5,4,63,33108,8607571968,0,7,0,523.2632571290478,2165050922,1772389,0,0,2143866880,523405,57821
