Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,4,38,31158,8607571968,0,6,0,493.82683109713037,1922872727,1737739,0,0,1902583808,464498,61550
2,4,4,36,30750,8607571968,0,6,0,498.21162609770374,1914539422,1736931,0,0,1894694912,462572,54645
3,3,4,47,29080,8607571968,0,5,0,484.2149913330582,1759667002,1755627,0,0,1740464128,424918,47152
4,3,4,72,30598,8607571968,0,5,0,502.4376879126626,1921234944,1729546,0,0,1901948928,464343,32591
5,3,5,76,30653,8607571968,0,5,0,496.0049530148786,1899982591,1736140,0,0,1880363008,459073,53859
6,3,5,28,30803,8607571968,0,5,0,485.92893096954344,1870492518,1737823,0,0,1851232256,451961,44685
7,3,4,92,30382,8607571968,0,5,0,497.0114427546251,1887064317,1738894,0,0,1867763712,455997,47724
8,4,5,23,31093,8607571968,0,6,0,498.2769804426145,1936091936,1737092,0,0,1916510208,467898,79496
9,3,4,64,29711,8607571968,0,5,0,489.31601656175314,1816801479,1750130,0,0,1797447680,438830,65109
10,4,5,26,30443,8607571968,0,6,0,498.900219462514,1897978200,1740232,0,0,1877667840,458415,41267
