Time,Bitrate
0.10,566
0.20,942
0.30,941
0.40,941
0.50,941
0.60,941
0.70,941
0.80,941
0.90,941
1.00,941
1.10,942
1.20,940
1.30,942
1.40,940
1.50,942
1.60,941
1.70,940
1.80,942
1.90,940
2.00,942
2.10,940
2.20,942
2.30,941
2.40,940
2.50,942
2.60,941
2.70,941
2.80,941
2.90,940
3.00,942
3.10,940
3.20,942
3.30,940
3.40,942
3.50,941
3.60,941
3.70,941
3.80,940
3.90,942
4.00,940
4.10,942
4.20,941
4.30,940
4.40,942
4.50,940
4.60,942
4.70,941
4.80,941
4.90,941
5.00,940
5.10,942
5.20,940
5.30,942
5.40,941
5.50,941
5.60,941
5.70,941
5.80,942
5.90,940
6.00,942
6.10,940
6.20,942
6.30,940
6.40,942
6.50,940
6.60,942
6.70,941
6.80,941
6.90,941
7.00,940
7.10,942
7.20,941
7.30,941
7.40,940
7.50,942
7.60,940
7.70,941
7.80,942
7.90,940
8.00,942
8.10,941
8.20,940
8.30,942
8.40,940
8.50,942
8.60,940
8.70,942
8.80,941
8.90,940
9.00,942
9.10,940
9.20,942
9.30,941
9.40,941
9.50,941
9.60,940
9.70,942
9.80,940
9.90,942
10.00,941
10.10,941
10.20,941
10.30,941
10.40,941
10.50,940
10.60,942
10.70,940
10.80,942
10.90,941
11.00,940
11.10,942
11.20,940
11.30,942
11.40,941
11.50,940
11.60,942
11.70,940
11.80,942
11.90,940
12.00,942
12.10,940
12.20,942
12.30,941
12.40,940
12.50,942
12.60,941
12.70,941
12.80,941
12.90,941
13.00,941
13.10,940
13.20,942
13.30,940
13.40,942
13.50,941
13.60,941
13.70,941
13.80,940
13.90,942
14.00,940
14.10,942
14.20,941
14.30,940
14.40,942
14.50,940
14.60,942
14.70,941
14.80,941
14.90,941
15.00,940
15.10,942
15.20,940
15.30,941
15.40,937
15.50,939
15.60,939
15.70,940
15.80,942
15.90,940
16.00,942
16.10,941
16.20,941
16.30,941
16.40,940
16.50,942
16.60,940
16.70,942
16.80,941
16.90,941
17.00,941
17.10,937
17.20,939
17.30,938
17.40,942
17.50,941
17.60,940
17.70,942
17.80,940
17.90,942
18.00,941
18.10,941
18.20,941
18.30,940
18.40,942
18.50,940
18.60,942
18.70,941
18.80,941
18.90,941
19.00,941
19.10,941
19.20,940
19.30,942
19.40,940
19.50,942
19.60,941
19.70,940
19.80,942
19.90,940
20.00,942
20.10,898
