Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,4,160,36895,8607571968,0,5,0,407.9344900382207,1880926525,1739359,0,0,1861636096,454501,56200
2,4,4,49,38296,8607571968,0,6,0,395.19890901493784,1891407168,1738338,0,0,1872105472,457057,48714
3,3,5,47,35501,8607571968,0,5,0,390.9171264367816,1734286906,1745332,0,0,1715228672,418757,28877
4,3,4,119,35310,8607571968,0,5,0,438.7686165524274,1936183213,1729831,0,0,1916870656,467986,48843
5,4,4,33,36246,8607571968,0,6,0,427.9557088460902,1938533940,1729278,0,0,1919221760,468560,58822
6,3,5,93,36780,8607571968,0,5,0,410.26984853840924,1885746826,1736868,0,0,1866469376,455681,40158
7,3,5,50,36435,8607571968,0,5,0,396.5216656601702,1805448151,1733241,0,0,1786359808,436123,12874
8,4,4,41,39359,8607571968,0,6,0,413.06332511752,2031800985,1716003,0,0,2012426240,491315,49672
9,4,4,73,35441,8607571968,0,6,0,433.6032086237548,1920487203,1733221,0,0,1901174784,464154,82928
10,4,4,52,35964,8607571968,0,6,0,436.03495750834264,1959764724,1728910,0,0,1940414464,473734,66478
