Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,4,90,37623,8607571968,0,5,0,414.6084521119647,1949432036,1726863,0,0,1930108928,471218,9970
2,3,5,79,38250,8607571968,0,5,0,388.1665805203295,1855466475,1706628,0,0,1836515328,448368,86375
3,5,5,120,49045,8607571968,0,7,0,501.875560685155,3076284751,1692748,0,0,3054260224,745669,102703
4,4,6,37,39210,8607571968,0,6,0,381.46461503928174,1869154936,1709067,0,0,1850130432,451692,123253
5,3,5,103,39246,8607571968,0,5,0,416.26967977370606,2041642429,1715315,0,0,2022240256,493711,16566
6,3,4,132,38711,8607571968,0,5,0,409.33969483555944,1980326562,1711211,0,0,1961091072,478782,45910
7,3,4,157,39114,8607571968,0,5,0,417.447699718742,2040585058,1715332,0,0,2021195776,493456,28350
8,3,4,163,38879,8607571968,0,5,0,391.9805824823151,1904568259,1707935,0,0,1885503488,460328,75453
9,3,4,23,37150,8607571968,0,5,0,381.5435410542185,1771389663,1708642,0,0,1752252416,427796,58498
10,3,5,116,39405,8607571968,0,5,0,407.5566978680203,2007004353,1709144,0,0,1987735552,485287,31787
