Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,4,51,38466,8607571968,0,6,0,396.1218509697884,1904242419,1743125,0,0,1884872704,460174,75123
2,4,5,31,38892,8607571968,0,6,0,382.9591943837272,1861304364,1744270,0,0,1842008064,449709,41864
3,3,5,106,36457,8607571968,0,5,0,412.79977021836936,1880709769,1747651,0,0,1861345280,454430,39008
4,4,4,106,39390,8607571968,0,6,0,402.95825013964355,1983651795,1730477,0,0,1964240896,479551,58147
5,4,5,63,38548,8607571968,0,6,0,398.10551498326544,1917810198,1743576,0,0,1898409984,463479,67331
6,3,4,142,38278,8607571968,0,5,0,381.26550180279037,1823857093,1750847,0,0,1804574720,440570,18482
7,4,4,89,38342,8607571968,0,6,0,379.805211748135,1819909116,1753590,0,0,1800609792,439602,70029
8,3,4,33,39497,8607571968,0,5,0,351.21959759957457,1733627062,1750448,0,0,1714524160,418585,23944
9,3,3,96,39401,8607571968,0,5,0,389.4390677699376,1917677665,1741163,0,0,1898299392,463452,6712
10,3,5,106,37826,8607571968,0,5,0,405.10797472303744,1914986361,1738070,0,0,1895641088,462803,10873
