Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,5,4,50,49940,8607571968,0,7,0,485.46680695289973,3030071373,1699941,0,0,3008151552,734412,74992
2,2,4,158,38228,8607571968,0,4,0,374.2018934700711,1787724289,1707530,0,0,1768075264,431659,22674
3,3,4,123,40687,8607571968,0,5,0,382.3631842292849,1944247794,1699454,0,0,1925185536,470016,74363
4,4,4,42,40999,8607571968,0,6,0,387.6617232345408,1986311633,1705827,0,0,1965973504,479974,60961
5,3,4,149,41373,8607571968,0,5,0,401.56603408349247,2076335774,1704823,0,0,2056970240,502190,41602
6,4,4,155,48791,8607571968,0,6,0,487.9526475495521,2975505817,1690635,0,0,2953568256,721086,55129
7,3,5,78,40274,8607571968,0,5,0,373.9566521145298,1882145169,1710676,0,0,1863102464,454859,64653
8,3,4,179,41182,8607571968,0,5,0,396.96799922288596,2043081150,1714799,0,0,2023690240,494065,31993
9,6,4,35,50685,8607571968,0,8,0,488.5637626724019,3094900045,1695887,0,0,3072942080,750230,128728
10,6,5,90,51118,8607571968,0,8,0,494.7347654021482,3160709796,1699481,0,0,3138310144,766189,125869
