Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,6,7,70,64659,12902539264,0,8,0,371.7869998143909,3004384177,2291520,0,0,28672,7,239942,3227860
2,Yes,5,7,101,66670,12902539264,0,7,0,391.9750035851972,3266066272,2214250,0,0,36864,9,244839,3245767
3,No,5,7,82,62299,12902539264,0,7,0,373.8710629936428,2910934596,2229434,0,0,28672,7,135869,3250435
4,Yes,3,6,64,60073,12902539264,0,5,0,322.22174052308253,2419149277,2307993,0,0,28672,7,88897,3222692
5,Yes,6,7,60,62046,12902539264,0,8,0,381.9708556230758,2961923777,2179973,0,0,61440,15,113943,3239574
6,Yes,5,7,82,66466,12902539264,0,7,0,353.91443939872704,2939887530,2266840,0,0,28672,7,177340,3241455
7,Yes,5,7,53,59653,12902539264,0,7,0,369.66213700834925,2755896042,2324061,0,0,28672,7,185793,3251049
8,Yes,4,8,73,61256,12902539264,0,6,0,352.1062567920585,2695513092,2304228,0,0,28672,7,156648,3226490
9,No,5,6,83,62353,12902539264,0,7,0,357.3146389080469,2784474538,2318514,0,0,28672,7,183402,3204363
10,No,5,7,53,62326,12902539264,0,7,0,354.9121483977599,2764508836,2294953,0,0,28672,7,173449,3227619
