Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,3,1167,7769,1091379200,0,5,0,722.513139325264,701167246,10706,0,0,32768,8,22907,294133
2,Yes,2,3,821,7632,1091379200,0,4,0,731.0593870756325,696944150,9557,0,0,32768,8,16879,289847
3,Yes,2,2,266,6431,1091379200,0,4,0,817.0643733084462,656400999,10851,0,0,28672,7,17835,277501
4,Yes,2,2,78,6646,1091379200,0,4,0,805.7843491872367,668991544,11420,0,0,32768,8,15192,277157
5,Yes,3,3,912,7679,1091379200,0,5,0,728.5916050026054,698871261,9486,0,0,32768,8,24429,290978
6,Yes,2,3,253,6530,1091379200,0,4,0,823.016731729738,671266418,11297,0,0,28672,7,17651,275317
7,Yes,2,3,573,7711,1091379200,0,4,0,712.981209133368,686745037,10928,0,0,32768,8,22593,289460
8,Yes,2,3,157,6907,1091379200,0,4,0,807.5428470451913,696697119,10979,0,0,32768,8,19433,291561
9,Yes,4,3,747,7584,1091379200,0,6,0,742.8259934045641,703708072,12033,0,0,32768,8,23837,298707
10,Yes,2,2,61,6204,1091379200,0,4,0,857.7167481457594,664732551,12176,0,0,32768,8,11512,275321
