Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,3,3,31,13761,2165121024,0,5,0,845.7382823084752,1454246027,8871,0,0,28672,7,24476,552158
2,Yes,3,3,84,16532,2165121024,0,5,0,706.5885471595378,1459687878,11691,0,0,28672,7,52701,557767
3,Yes,3,4,24,13080,2165121024,0,5,0,878.9793282349342,1436479328,11875,0,0,28672,7,38867,549576
4,Yes,3,2,43,14259,2165121024,0,5,0,830.2874860068738,1479463702,11096,0,0,28672,7,38281,563867
5,Yes,3,2,79,16385,2165121024,0,5,0,720.4661500335714,1475212233,11516,0,0,28672,7,39567,562969
6,No,3,3,44,13916,2165121024,0,5,0,840.9031921224754,1462223380,12114,0,0,28672,7,38104,558285
7,Yes,3,3,39,14056,2165121024,0,5,0,836.7065765317013,1469567306,11899,0,0,28672,7,36267,560075
8,No,3,3,34,13483,2165121024,0,5,0,860.3165928783383,1449421075,9778,0,0,32768,8,29754,550804
9,Yes,3,3,30,14003,2165121024,0,5,0,836.7455811428571,1464092383,12452,0,0,28672,7,28055,558000
10,Yes,3,3,35,14222,2165121024,0,5,0,833.3465447640481,1480956931,9740,0,0,28672,7,49772,562711
