Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,3,3,38,14169,2165121024,0,5,0,832.9812633065086,1474789188,10021,0,0,28672,7,42213,561712
2,No,3,3,47,14076,2165121024,0,5,0,825.843490940098,1452549547,11667,0,0,28672,7,40596,553846
3,Yes,3,2,72,14214,2165121024,0,5,0,835.6496960315227,1484319301,11666,0,0,28672,7,39797,565809
4,Yes,3,3,42,13508,2165121024,0,5,0,847.9966880414662,1431312025,11625,0,0,28672,7,21245,554769
5,Yes,3,3,46,13647,2165121024,0,5,0,854.2105939607153,1456643784,11042,0,0,28672,7,34516,556980
6,Yes,3,3,34,13876,2165121024,0,5,0,840.6734716355511,1457620500,11522,0,0,28672,7,30202,557076
7,Yes,3,3,32,13638,2165121024,0,5,0,855.698762302897,1458219194,12575,0,0,28672,7,27384,557717
8,No,3,2,27,14113,2165121024,0,5,0,819.8321598752747,1445869067,11838,0,0,28672,7,30331,552999
9,Yes,3,3,41,14562,2165121024,0,5,0,811.8523129335806,1477257344,11690,0,0,28672,7,47945,562787
10,Yes,3,3,33,14266,2165121024,0,5,0,827.0685959475567,1474347539,11626,0,0,28672,7,36464,562033
