Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,2,2,109,6511,1091379200,0,4,0,833.4484289445384,677902120,8811,0,0,32768,8,16431,275745
2,Yes,3,2,641,7756,1091379200,0,5,0,721.4807954604075,699082877,9976,0,0,32768,8,24646,290535
3,Yes,3,2,675,7465,1091379200,0,5,0,744.2010419402386,694034163,11550,0,0,32768,8,20839,291086
4,No,2,3,489,6754,1091379200,0,4,0,795.3354003851281,670951303,11594,0,0,32768,8,13706,276081
5,Yes,2,3,33,6162,1091379200,0,4,0,868.4738431563566,668403942,11070,0,0,32768,8,10241,274624
6,Yes,2,3,776,7877,1091379200,0,4,0,706.6064770129541,695265067,10881,0,0,32768,8,23386,290846
7,No,2,2,131,6769,1091379200,0,4,0,806.4326135658342,681928829,11765,0,0,32768,8,18264,278890
8,Yes,3,3,1318,8398,1091379200,0,5,0,672.7936562239429,705800459,11037,0,0,32768,8,26560,296581
9,Yes,3,2,244,7144,1091379200,0,5,0,781.0597502100252,697078708,10683,0,0,32768,8,26126,292486
10,Yes,3,3,959,7829,1091379200,0,5,0,713.5322269358549,697800517,11130,0,0,32768,8,20150,292951
