Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,2,2,144,9081,1091379200,0,4,0,926.9285630576054,1051735851,10430,0,0,1049591808,256248,191,266678
2,Yes,2,2,782,10643,1091379200,0,4,0,786.9564890517809,1046406654,11553,0,0,1044262912,254947,34,266500
3,Yes,2,2,1343,10280,1091379200,0,4,0,816.650163845106,1048847202,10949,0,0,1046704128,255543,26,266492
4,No,2,1,674,9595,1091379200,0,4,0,874.9325711903273,1048919040,11179,0,0,1046773760,255560,183,266739
5,No,2,2,105,8999,1091379200,0,4,0,924.7282534178058,1039760154,13597,0,0,1037611008,253323,230,266920
6,Yes,2,2,1530,10452,1091379200,0,4,0,808.8074342583732,1056292353,10548,0,0,1054138368,257358,981,267906
7,Yes,2,2,57,10122,1091379200,0,4,0,823.538390513834,1041563862,12913,0,0,1039417344,253764,193,266677
8,Yes,2,2,13,9765,1091379200,0,4,0,859.8103935265799,1049078907,11158,0,0,1046933504,255599,56,266757
9,Yes,2,2,211,9957,1091379200,0,4,0,837.7791983927675,1042299288,12547,0,0,1040154624,253944,26,266491
10,Yes,2,2,1553,10500,1091379200,0,4,0,797.4853282530006,1046287764,11567,0,0,1044144128,254918,18,266485
