Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,5,7,91,82739,17197506560,0,7,0,425.39073828748246,4398965884,3277601,0,0,4360949760,1064685,277430,4342286
2,Yes,4,8,48,79144,17197506560,0,6,0,413.6250507480793,4091366592,3329546,0,0,4053483520,989620,159814,4319166
3,Yes,5,8,49,80288,17197506560,0,7,0,423.1214910812157,4245811727,3303922,0,0,4207857664,1027309,200378,4331231
4,No,4,8,59,77870,17197506560,0,6,0,406.9115593229046,3960156069,3357647,0,0,3922276352,957587,145771,4315234
5,No,4,7,65,77431,17197506560,0,6,0,426.62211417648274,4128636411,3393997,0,0,4090101760,998560,42366,4392557
6,Yes,4,8,72,81901,17197506560,0,6,0,424.09457980535575,4341084768,3284178,0,0,4303122432,1050567,243553,4334745
7,No,3,8,60,77153,17197506560,0,5,0,416.64940991639116,4017589957,3284511,0,0,3980255232,971742,94798,4256253
8,Yes,5,8,60,84427,17197506560,0,7,0,424.66900323386915,4481054137,3261190,0,0,4443025408,1084723,283673,4345913
9,Yes,9,7,54,131900,17197506560,0,11,0,648.4947548694774,10691277298,3158238,0,0,10642067456,2598161,464259,5756399
10,Yes,3,7,78,76605,17197506560,0,5,0,410.22682921225095,3927606949,3303807,0,0,3890274304,949774,80833,4253581
