Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,6,53,64888,12902539264,0,5,0,473.0773852840542,3836563480,2275034,0,0,3808649216,929846,105497,3204880
2,No,4,6,31,67276,12902539264,0,6,0,494.8202280957336,4160607183,2255433,0,0,4132237312,1008847,103742,3264280
3,Yes,3,6,72,66242,12902539264,0,5,0,475.15426390482514,3933827344,2251218,0,0,3905937408,953598,113831,3204816
4,Yes,5,6,86,69975,12902539264,0,7,0,487.19256767997257,4260834660,2258116,0,0,4232245248,1033263,230844,3291379
5,No,4,6,71,67852,12902539264,0,6,0,480.76133419803676,4077004275,2291421,0,0,4048474112,988397,124144,3279818
6,Yes,3,6,64,65652,12902539264,0,5,0,469.4299877524906,3851812738,2272620,0,0,3823890432,933567,120579,3206187
7,Yes,5,7,46,70291,12902539264,0,7,0,463.6936719594787,4073568319,2301804,0,0,4044951552,987537,247163,3289341
8,Yes,4,7,92,69431,12902539264,0,6,0,474.80070315740954,4120108092,2260814,0,0,4091768832,998967,150979,3259781
9,No,4,6,53,67521,12902539264,0,6,0,462.83451333777674,3905821611,2317789,0,0,3877388288,946628,161170,3264417
10,Yes,4,7,73,68943,12902539264,0,6,0,489.840641754671,4220744400,2243266,0,0,4192366592,1023527,115139,3266793
