Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,2,217,20325,2165121024,0,5,0,900.9253834571667,2288475937,12675,0,0,2283900928,557593,52400,570268
2,No,3,2,41,20616,2165121024,0,5,0,890.7025567090327,2294905429,11599,0,0,2290327552,559162,59023,570761
3,No,3,1,41,20689,2165121024,0,5,0,889.584777262181,2300253850,12156,0,0,2295660544,560464,53302,572620
4,Yes,3,2,63,21292,2165121024,0,5,0,872.4921965241898,2321707474,12380,0,0,2317070336,565691,63808,578071
5,Yes,3,1,48,19821,2165121024,0,5,0,919.5859701311806,2278061857,11515,0,0,2273517568,555058,44657,566573
6,Yes,3,2,65,20408,2165121024,0,5,0,890.2485853180438,2270589195,12504,0,0,2266050560,553235,63115,565739
7,Yes,3,1,35,20272,2165121024,0,5,0,900.1695569039515,2280704752,12874,0,0,2276143104,555699,42509,568573
8,No,3,2,46,20555,2165121024,0,5,0,897.6666028317034,2306005327,12809,0,0,2301394944,561864,53911,574673
9,Yes,3,1,33,19992,2165121024,0,5,0,911.1646941123506,2276674291,12381,0,0,2272124928,554718,43848,567099
10,Yes,3,2,55,20442,2165121024,0,5,0,899.5771138943248,2298207142,12744,0,0,2293612544,559964,51568,572708
