Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,6,4,170,71734,12902539264,0,8,0,529.8352076955249,4750422469,2348079,0,0,4720070656,1152361,226599,3500440
2,Yes,3,6,149,66459,12902539264,0,5,0,500.6048167577084,4158124102,2307400,0,0,4129292288,1008128,115449,3315528
3,Yes,7,7,166,75646,12902539264,0,9,0,539.726654768043,5102835567,2331497,0,0,5071945728,1238268,272586,3569765
4,Yes,6,7,118,72576,12902539264,0,8,0,517.8540472102412,4697306332,2371094,0,0,4666851328,1139368,233901,3510462
5,Yes,6,6,190,75964,12902539264,0,8,0,556.4040060033177,5282704474,2281660,0,0,5251911680,1282205,275045,3563865
6,Yes,5,7,90,69594,12902539264,0,7,0,498.44061735669015,4335410969,2396115,0,0,4305436672,1051132,174666,3447247
7,Yes,7,5,175,72628,12902539264,0,9,0,531.0929085276014,4820982549,2374527,0,0,4790255616,1169496,263395,3544023
8,Yes,7,7,149,72320,12902539264,0,9,0,592.882026523585,5358922260,2290590,0,0,5327900672,1300757,294759,3591347
9,Yes,6,7,168,67159,12902539264,0,8,0,565.2710231117466,4744672506,2285119,0,0,4714897408,1151098,146321,3436217
10,Yes,6,7,189,73322,12902539264,0,8,0,526.2650365136739,4822677682,2377740,0,0,4791918592,1169902,266729,3547642
