Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,8,8,172,89990,17197506560,0,10,0,522.6195952968371,5878082039,3302873,0,0,5836955648,1425038,364805,4727911
2,Yes,5,9,170,80099,17197506560,0,7,0,487.2840990885254,4878110501,3371831,0,0,4838313984,1181229,224933,4553060
3,Yes,45,9,131,104275,17197506560,0,47,0,511.6254510578712,6667928934,3350519,0,0,6624833536,1617391,445909,4967910
4,Yes,3,9,52,72737,17197506560,0,5,0,439.1953642063579,3992512672,3311210,0,0,3954987008,965573,28562,4276783
5,Yes,7,9,155,86921,17197506560,0,9,0,502.2377872790869,5456098833,3357403,0,0,5415305216,1322096,326392,4679499
6,Yes,7,8,158,87058,17197506560,0,9,0,491.88680638713384,5352130824,3362722,0,0,5311492096,1296751,315217,4659473
7,Yes,46,8,155,105506,17197506560,0,48,0,559.2262688581774,7374443112,3317031,0,0,7330271232,1789617,550305,5106648
8,No,8,8,136,88197,17197506560,0,10,0,527.138765333545,5810767558,3309635,0,0,5769711616,1408621,358054,4718256
9,Yes,4,9,64,82601,17197506560,0,6,0,419.5768539325843,4331499030,3312584,0,0,4293300224,1048169,102604,4360753
10,Yes,7,9,133,79490,17197506560,0,9,0,488.47684442822816,4852866021,3346207,0,0,4813348864,1175134,185919,4521341
1,No,9,8,144,88528,17197506560,0,11,0,543.2799188431993,6011179762,3299780,0,0,5969821696,1457476,385727,4757256
4,Yes,50,8,401,100940,17197506560,0,52,0,522.4968364443388,6591867731,3338436,0,0,6549028864,1598884,425097,4926068
10,Yes,44,8,168,103828,17197506560,0,46,0,555.1318540550953,7204010186,3340977,0,0,7159955456,1748036,535921,5089013
7,Yes,44,8,209,104036,17197506560,0,46,0,515.921185219364,6708567432,3351059,0,0,6665388032,1627292,425816,4978351
