Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,18,71,31370,2165121024,0,5,0,894.449588160245,3505135552,11445,0,0,3496402944,853614,132728,870652
2,Yes,4,18,31,22924,2165121024,0,6,0,905.4824957653017,2592410346,12147,0,0,2584588288,631003,69632,650737
3,No,3,18,43,21069,2165121024,0,5,0,906.2498268015771,2384470754,12582,0,0,2379038720,580820,36359,596603
4,Yes,3,18,74,22448,2165121024,0,5,0,908.8532372715114,2547984880,11424,0,0,2540941312,620347,62973,637677
5,Yes,4,19,36,23463,2165121024,0,6,0,889.5083954956492,2606491943,12301,0,0,2599276544,634589,80761,653992
6,Yes,3,17,82,22466,2165121024,0,5,0,910.09906401176,2553639352,12454,0,0,2546933760,621810,57827,640075
7,Yes,4,18,60,22519,2165121024,0,6,0,907.9662486111729,2553556160,11419,0,0,2545717248,621513,59958,641990
8,Yes,4,19,446,37923,2165121024,0,6,0,873.7738767412411,4139728218,14593,0,0,4093755392,999452,218432,1042949
9,No,3,19,61,21234,2165121024,0,5,0,888.4745174640585,2355910977,11818,0,0,2349993984,573729,33368,588618
10,No,3,19,42,21082,2165121024,0,5,0,912.2804937568247,2401708121,12345,0,0,2396110848,584988,43798,600523
