Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,4,36,58,34502,4312604672,0,6,0,779.4560331921314,3357879045,305516,0,0,3346358272,816982,141946,1130519
2,Yes,4,36,49,36024,4312604672,0,6,0,794.8793971323774,3575552558,263467,0,0,3563110400,869900,172471,1141776
3,Yes,4,35,51,38074,4312604672,0,6,0,816.1144564262993,3880309816,195367,0,0,3868090368,944358,196200,1148542
4,Yes,3,34,82,36256,4312604672,0,5,0,869.1087405444206,3934894716,185308,0,0,3924467712,958122,29039,1147455
5,Yes,4,37,55,33828,4312604672,0,6,0,768.4903885650025,3245794930,340430,0,0,3233443840,789415,140613,1137800
6,Yes,3,36,76,35441,4312604672,0,5,0,844.7203714729558,3738203210,234581,0,0,3727536128,910043,42492,1149997
7,No,3,37,85,33852,4312604672,0,5,0,815.0295501996155,3444815646,294747,0,0,3433570304,838274,54379,1138873
8,Yes,4,34,50,37525,4312604672,0,6,0,816.8935977167854,3828057324,213321,0,0,3814707200,931325,172270,1152450
9,Yes,4,36,59,36744,4312604672,0,6,0,802.4951162689332,3682036431,246458,0,0,3669905408,895973,153090,1151110
10,No,3,36,72,34696,4312604672,0,5,0,829.977410271206,3595664746,261948,0,0,3584512000,875125,56228,1142313
