Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,5,40,36,71622,12902539264,0,7,0,467.0458031348663,4178796649,2272015,0,0,4146728960,1012385,274680,3295831
2,Yes,4,39,59,70790,12902539264,0,6,0,490.6612958686096,4339134758,2227246,0,0,4308185088,1051803,193915,3288060
3,Yes,3,37,85,65383,12902539264,0,5,0,467.61546536895906,3819387641,2275434,0,0,3789713408,925223,105876,3205622
4,Yes,4,38,46,69121,12902539264,0,6,0,492.30050750546445,4250987085,2228602,0,0,4220305408,1030348,196398,3267110
5,No,4,39,73,67776,12902539264,0,6,0,480.8546049574088,4071243637,2275294,0,0,4040683520,986495,106773,3269998
6,No,4,38,98,67448,12902539264,0,6,0,468.4768605251446,3947290736,2299978,0,0,3916488704,956174,182900,3264414
7,No,5,40,63,67619,12902539264,0,7,0,455.3140253629086,3845995879,2321653,0,0,3814207488,931203,258840,3264477
8,Yes,4,37,102,72032,12902539264,0,6,0,495.74803861379263,4461210095,2187722,0,0,4430381056,1081636,258877,3278881
9,Yes,4,38,60,68690,12902539264,0,6,0,492.32337190467865,4224660606,2241900,0,0,4193280000,1023750,90636,3273992
10,Yes,4,39,124,72699,12902539264,0,6,0,480.305621910267,4362163401,2223247,0,0,4331261952,1057437,257197,3289680
