Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,33,543,10400,1091379200,0,4,0,867.6768461464262,1124188375,11187,0,0,1121583104,273824,28329,286247
2,No,2,33,297,10358,1091379200,0,4,0,873.559157772397,1127224930,10957,0,0,1124749312,274597,25673,286375
3,Yes,3,33,30,10817,1091379200,0,5,0,852.3001787833828,1148688257,11096,0,0,1145856000,279750,33777,292991
4,Yes,2,33,817,10982,1091379200,0,4,0,834.5082714403142,1141916525,11516,0,0,1139355648,278163,27563,290683
5,Yes,2,34,1261,11307,1091379200,0,4,0,814.898280848044,1148081182,11122,0,0,1145491456,279661,28333,291819
6,Yes,2,33,907,10785,1091379200,0,4,0,844.1962827380953,1134387446,11260,0,0,1131794432,276317,28652,288649
7,No,2,33,559,10268,1091379200,0,4,0,871.1545410845139,1114320983,11730,0,0,1111724032,271417,28891,284359
8,Yes,2,34,575,10530,1091379200,0,4,0,863.8327088414634,1133136156,11420,0,0,1130450944,275989,26303,288689
9,No,2,33,261,10219,1091379200,0,4,0,866.9478319261732,1103628969,10834,0,0,1101127680,268830,18587,280581
10,Yes,2,33,707,10833,1091379200,0,4,0,835.7710066666667,1128078501,11704,0,0,1125441536,274766,25137,287582
