Time,Second,Number of Sorts,State
13:38:02,1,136,
13:38:03,2,95642,
13:38:04,3,120616,
13:38:05,4,146012,
13:38:06,5,175088,
13:38:07,6,179500,
13:38:08,7,179443,
13:38:09,8,179676,
13:38:10,9,178742,
13:38:11,10,179670,
13:38:12,11,132452,
13:38:13,12,179388,
13:38:14,13,179680,
13:38:15,14,179292,
13:38:16,15,178990,
13:38:17,16,177956,
13:38:18,17,165051,
13:38:19,18,166329,
13:38:20,19,164495,
13:38:21,20,158895,
13:38:22,21,146995,
13:38:23,22,143245,
13:38:24,23,144317,
13:38:25,24,146853,
13:38:26,25,146747,
13:38:27,26,146587,
13:38:28,27,146361,
13:38:29,28,147236,
13:38:30,29,147313,
13:38:31,30,147016,
13:38:32,31,147605,
13:38:33,32,146616,
13:38:34,33,145050,
13:38:35,34,140674,
13:38:36,35,126074,
13:38:37,36,137373,
13:38:38,37,140241,
13:38:39,38,140120,
13:38:40,39,140453,
13:38:41,40,140538,
13:38:42,41,101671,
13:38:43,42,112360,
13:38:44,43,132533,
13:38:45,44,151674,
13:38:46,45,176704,
13:38:47,46,178632,
13:38:48,47,178956,
13:38:49,48,179118,
13:38:50,49,179645,
13:38:51,50,179696,
13:38:52,51,179769,
13:38:53,52,179535,
13:38:54,53,179500,
13:38:55,54,179255,
13:38:56,55,179024,
