Time,Second,Number of Sorts,State
12:48:26,1,375,
12:48:27,2,123652,
12:48:28,3,123212,
12:48:29,4,166318,
12:48:30,5,177258,
12:48:31,6,176658,
12:48:32,7,177128,
12:48:33,8,177383,
12:48:34,9,177350,
12:48:35,10,177207,
12:48:36,11,139446,
12:48:37,12,167546,
12:48:38,13,177124,
12:48:39,14,176756,
12:48:40,15,176704,
12:48:41,16,177083,
12:48:42,17,173931,
12:48:43,18,174502,
12:48:44,19,174674,
12:48:45,20,174588,
12:48:46,21,174758,
12:48:47,22,174276,
12:48:48,23,175031,
12:48:49,24,176151,
12:48:50,25,175551,
12:48:51,26,175017,
12:48:52,27,174558,
12:48:53,28,175021,
12:48:54,29,174905,
12:48:55,30,174540,
12:48:56,31,174702,
12:48:57,32,174615,
12:48:58,33,175030,
12:48:59,34,175154,
12:49:00,35,169801,
12:49:01,36,174858,
12:49:02,37,174211,
12:49:03,38,175060,
12:49:04,39,175016,
12:49:05,40,175072,
12:49:06,41,123968,
12:49:07,42,130965,
12:49:08,43,139059,
12:49:09,44,168836,
12:49:10,45,176592,
12:49:11,46,176564,
12:49:12,47,176299,
12:49:13,48,176401,
12:49:14,49,176558,
12:49:15,50,176676,
12:49:16,51,176985,
12:49:17,52,176324,
12:49:18,53,176392,
12:49:19,54,176338,
12:49:20,55,177040,
