Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,7,10,66,65475,17197506560,0,9,0,412.63361918582444,3376419997,3203807,0,0,28672,7,246143,4558798
2,Yes,3,11,85,61996,17197506560,0,5,0,334.37322126320885,2590553131,3297867,0,0,28672,7,103193,4349895
3,Yes,5,12,104,67253,17197506560,0,7,0,334.05718713285046,2807579979,3333165,0,0,28672,7,163865,4466096
4,No,5,17,123,62791,17197506560,0,7,0,361.0408580622551,2832784917,3342837,0,0,36864,9,206315,4500603
5,No,6,10,96,62862,17197506560,0,8,0,381.94919709794436,3000571405,3263975,0,0,53248,13,177579,4476582
6,Yes,6,10,83,65630,17197506560,0,8,0,392.49621213044804,3219237718,3251372,0,0,36864,9,220825,4529950
7,No,5,11,85,62871,17197506560,0,7,0,378.726848743239,2975633778,3304594,0,0,36864,9,194237,4497358
8,Yes,8,8,78,64746,17197506560,0,10,0,389.2709120454756,3149865024,3277326,0,0,36864,9,222886,4533940
9,Yes,5,10,93,65088,17197506560,0,7,0,395.7882389747687,3219425941,3244608,0,0,28672,7,215626,4518291
10,Yes,6,11,69,67232,17197506560,0,8,0,373.48316853364275,3138026547,3291952,0,0,28672,7,229947,4539056
