Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,10,3,4455,33973,2165121024,0,12,0,729.4005962908449,3097004716,12752,0,0,49152,12,173533,1159984
2,No,5,3,86,13833,2165121024,0,7,0,869.6176572668112,1503139089,11986,0,0,40960,10,17292,568150
3,No,6,4,66,13381,2165121024,0,8,0,883.2555837631757,1476701281,11723,0,0,40960,10,17981,573684
4,Yes,6,3,96,13857,2165121024,0,8,0,873.9406894759636,1513234327,12118,0,0,40960,10,18386,573688
5,Yes,6,4,105,14338,2165121024,0,8,0,850.560938747035,1523780100,11715,0,0,40960,10,21979,576197
6,Yes,5,3,497,13631,2165121024,0,7,0,845.8481837393601,1440689945,11792,0,0,40960,10,13965,567431
7,Yes,5,4,109,13800,2165121024,0,7,0,860.808172223833,1484251257,11981,0,0,40960,10,12510,563734
8,Yes,6,4,40,13862,2165121024,0,8,0,874.7178825227305,1515017590,11381,0,0,40960,10,24810,575370
9,No,6,3,44,13174,2165121024,0,8,0,891.5609542175993,1467631204,12110,0,0,40960,10,22754,577881
10,Yes,6,3,42,14059,2165121024,0,8,0,875.349170745589,1537776031,11868,0,0,40960,10,27602,583524
