Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,4,96,26282,4312604672,0,6,0,744.5632580866123,2445491752,155398,0,0,28672,7,119023,1125350
2,Yes,4,4,80,25367,4312604672,0,6,0,741.6193443993218,2350999019,195261,0,0,28672,7,82659,1121981
3,Yes,5,5,84,25798,4312604672,0,7,0,629.092193695964,2028059433,301972,0,0,28672,7,143056,1118917
4,Yes,5,3,91,28626,4312604672,0,7,0,725.113107361213,2594151623,124879,0,0,28672,7,199146,1136735
5,Yes,5,5,154,25780,4312604672,0,7,0,636.3978456644035,2050181873,295696,0,0,28672,7,151603,1122142
6,No,4,7,68,24665,4312604672,0,6,0,649.8117274718144,2002669787,305430,0,0,28672,7,127829,1114797
7,No,4,5,87,24339,4312604672,0,6,0,638.5735737651023,1942168758,313504,0,0,28672,7,56888,1113191
8,Yes,5,4,98,27515,4312604672,0,7,0,653.4023824651957,2246756682,221057,0,0,28672,7,153755,1127578
9,Yes,5,4,247,25848,4312604672,0,7,0,638.6171329515555,2062840212,291114,0,0,28672,7,139539,1123720
10,No,3,6,85,24379,4312604672,0,5,0,743.6079931071268,2265282318,179219,0,0,28672,7,57835,1079900
