Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,5,5,394,41421,8607571968,0,7,0,475.23864303650765,2460098019,1182098,0,0,28672,7,203778,2189265
2,Yes,6,6,80,42262,8607571968,0,8,0,499.22672907989397,2636703121,1158951,0,0,28672,7,228606,2196880
3,Yes,6,5,116,42526,8607571968,0,8,0,516.2898274264481,2743932507,1119645,0,0,28672,7,198333,2196196
4,Yes,5,8,108,41906,8607571968,0,7,0,403.69971817270516,2114063913,1322750,0,0,28672,7,170238,2182767
5,Yes,5,6,83,41361,8607571968,0,7,0,513.2115497521461,2652770519,1144135,0,0,28672,7,144426,2189190
6,Yes,5,10,83,40217,8607571968,0,7,0,485.153899171786,2438110417,1211879,0,0,28672,7,190640,2181872
7,Yes,5,8,74,40144,8607571968,0,7,0,460.7288345624876,2311264127,1258206,0,0,28672,7,181755,2186031
8,Yes,4,5,95,38696,8607571968,0,6,0,463.97877894083894,2243762957,1271351,0,0,28672,7,117334,2175136
9,Yes,6,6,63,42408,8607571968,0,8,0,463.62235196452997,2457101909,1215501,0,0,28672,7,218905,2194468
10,Yes,4,6,47,40040,8607571968,0,6,0,493.09451206474495,2467355802,1180221,0,0,28672,7,115198,2159656
