Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,4,9,86,50102,12902539264,0,6,0,390.66599149581776,2445991529,2244523,0,0,28672,7,86765,3240979
2,Yes,5,8,75,52787,12902539264,0,7,0,376.83985160764695,2485941380,2248255,0,0,28672,7,184184,3249413
3,Yes,5,9,62,48245,12902539264,0,7,0,362.3933203416535,2184838089,2335915,0,0,28672,7,182841,3234782
4,No,5,11,58,49746,12902539264,0,7,0,383.901659274153,2386456192,2271813,0,0,28672,7,128019,3242540
5,Yes,4,9,116,52734,12902539264,0,6,0,356.5119866477003,2349424402,2252056,0,0,28672,7,150813,3205987
6,No,5,12,74,49604,12902539264,0,7,0,389.99898999838683,2417391303,2238974,0,0,28672,7,179706,3246250
7,Yes,4,8,79,51231,12902539264,0,6,0,389.47447092126583,2493543943,2236153,0,0,28672,7,95916,3239272
8,Yes,5,9,96,53948,12902539264,0,7,0,387.95042651884535,2615494821,2200028,0,0,28672,7,255558,3246202
9,Yes,5,8,90,52723,12902539264,0,7,0,399.846331556483,2634524985,2195352,0,0,28672,7,246076,3248752
10,Yes,5,9,81,52729,12902539264,0,7,0,388.7771450682853,2561828950,2211180,0,0,28672,7,115550,3244218
