Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,5,11,93,62402,17197506560,0,7,0,337.08692728117836,2628686374,3227869,0,0,28672,7,189986,4299201
2,Yes,6,10,81,63518,17197506560,0,8,0,320.57422271209924,2544666005,3269811,0,0,28672,7,215861,4303427
3,No,5,9,72,62745,17197506560,0,7,0,347.1437389696506,2722088765,3210026,0,0,28672,7,201434,4303345
4,Yes,5,10,97,64617,17197506560,0,7,0,344.18188580184807,2779357451,3204606,0,0,28672,7,199357,4318681
5,Yes,5,10,41,65332,17197506560,0,7,0,360.94384789198125,2946984318,3129649,0,0,28672,7,183031,4299238
6,No,5,11,69,62823,17197506560,0,7,0,304.98165751767175,2394351048,3304757,0,0,28672,7,167872,4288770
7,Yes,4,10,86,64864,17197506560,0,6,0,326.13848817343575,2643710779,3231123,0,0,28672,7,208339,4297545
8,Yes,5,10,55,64551,17197506560,0,7,0,327.4916929083838,2641867733,3223620,0,0,28672,7,201754,4288580
9,Yes,4,10,76,61178,17197506560,0,6,0,315.30846730316506,2410636131,3290301,0,0,28672,7,110588,4280407
10,Yes,4,11,109,63433,17197506560,0,6,0,322.7803935542872,2558709855,3245166,0,0,28672,7,224088,4285140
