Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,2,23,18067,2165121024,0,4,0,939.042991862718,2120132610,12525,0,0,2115887104,516574,410,529099
2,Yes,2,2,1371,19424,2165121024,0,4,0,874.5780430439708,2122912998,11833,0,0,2118668288,517253,392,529086
3,Yes,2,2,32,18109,2165121024,0,4,0,937.9300195504502,2122543512,11819,0,0,2118299648,517163,307,528982
4,Yes,2,3,169,17982,2165121024,0,4,0,938.2130690249735,2108304144,16547,0,0,2104045568,513683,1207,530230
5,No,2,2,73,18046,2165121024,0,4,0,939.0943400576368,2117915082,12829,0,0,2113671168,516033,97,528862
6,Yes,2,4,157,18199,2165121024,0,4,0,936.1576336356142,2128961160,12163,0,0,2124701696,518726,1814,530889
7,Yes,2,3,18,18110,2165121024,0,4,0,939.9273222510631,2127195801,10724,0,0,2122952704,518299,353,529023
8,Yes,2,2,15,18115,2165121024,0,4,0,939.1646287197041,2126042019,10662,0,0,2121801728,518018,46,528680
9,No,2,2,16,18060,2165121024,0,4,0,939.417687451545,2120288373,12048,0,0,2116046848,516613,19,528661
10,No,2,2,20,18061,2165121024,0,4,0,939.9240582535024,2121417225,12076,0,0,2117173248,516888,299,528964
