Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,5,66,48412,8607571968,0,6,0,651.3154196707088,3940815780,1255238,0,0,3921858560,957485,111500,2212723
2,Yes,4,6,57,47886,8607571968,0,6,0,637.8305791144528,3817203606,1275792,0,0,3798302720,927320,84943,2203112
3,Yes,4,4,49,45765,8607571968,0,6,0,637.374428006381,3645648990,1311904,0,0,3626758144,885439,78189,2197343
4,Yes,3,5,36,45516,8607571968,0,5,0,677.1987271648612,3852286525,1200767,0,0,3833991168,936033,41704,2136800
5,Yes,5,4,54,52553,8607571968,0,7,0,655.0286146644085,4302424898,1178348,0,0,4283453440,1045765,257021,2224113
6,No,3,4,68,42750,8607571968,0,5,0,632.1629465213119,3377592280,1315570,0,0,3359191040,820115,27625,2135685
7,Yes,4,4,60,46480,8607571968,0,6,0,644.8952813495137,3746306727,1293089,0,0,3727388672,910007,87977,2203096
8,Yes,4,4,50,47661,8607571968,0,6,0,629.7346726818726,3751195752,1288202,0,0,3732312064,911209,167749,2199411
9,Yes,4,5,82,49712,8607571968,0,6,0,669.7585632607078,4161248703,1204041,0,0,4142321664,1011309,98759,2215350
10,Yes,5,4,41,48660,8607571968,0,7,0,643.6855919105557,3914683334,1262280,0,0,3895713792,951102,172369,2213382
