Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,4,8,74,69739,17197506560,0,6,0,537.8189672885803,4687619391,3200393,0,0,4649734144,1135189,134279,4335582
2,Yes,3,7,20,61590,17197506560,0,5,0,477.45428212331325,3675170998,3349984,0,0,3637915648,888163,28341,4238147
3,Yes,4,8,48,66928,17197506560,0,6,0,485.67799701135687,4062484035,3334261,0,0,4024614912,982572,83202,4316833
4,No,4,9,50,68861,17197506560,0,6,0,489.9161624353686,4216251042,3304892,0,0,4178345984,1020104,171766,4324996
5,Yes,4,10,142,66600,17197506560,0,6,0,475.5504927466587,3958151004,3358302,0,0,3920269312,957097,167119,4315399
6,No,5,10,47,69355,17197506560,0,7,0,519.809170264619,4505558428,3248801,0,0,4467593216,1090721,277250,4339522
7,Yes,4,9,84,70265,17197506560,0,6,0,502.5896218401275,4413529649,3263774,0,0,4375609344,1068264,162044,4332038
8,Yes,5,9,40,72838,17197506560,0,7,0,503.7625777643521,4585853161,3229646,0,0,4547903488,1110328,292697,4339974
9,Yes,4,9,66,70903,17197506560,0,6,0,519.2912100883009,4601616471,3226441,0,0,4563664896,1114176,214101,4340617
10,Yes,4,9,87,71761,17197506560,0,6,0,507.711104805441,4553448489,3238827,0,0,4515479552,1102412,270343,4341239
