Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,5,18,65,22842,2165121024,0,7,0,910.8040736067297,2598311586,10661,0,0,2584887296,631076,70626,657233
2,Yes,3,19,34,20390,2165121024,0,5,0,919.5654178979923,2341346007,11795,0,0,2335891456,570286,32628,584454
3,Yes,4,18,26,22495,2165121024,0,6,0,916.5959685011345,2575078538,12553,0,0,2568744960,627135,62983,646420
4,No,4,20,24,22186,2165121024,0,6,0,918.7051015068123,2545289750,12046,0,0,2537828352,619587,56721,638794
5,Yes,4,18,26,21986,2165121024,0,6,0,933.7511176256373,2563868159,12633,0,0,2556559360,624160,68365,643901
6,No,4,18,30,22113,2165121024,0,6,0,914.3259347363656,2525041531,11194,0,0,2518110208,614773,59634,633237
7,Yes,4,17,33,22256,2165121024,0,6,0,913.9217040334547,2540375687,12683,0,0,2532884480,618380,61824,638632
8,Yes,4,20,35,22260,2165121024,0,6,0,920.2186827338129,2557995528,12906,0,0,2550661120,622720,70518,642895
9,No,3,20,71,22226,2165121024,0,5,0,911.5793468431955,2530103988,12173,0,0,2523471872,616082,64563,633950
10,Yes,4,18,35,22725,2165121024,0,6,0,917.812326419166,2604883152,12655,0,0,2597654528,634193,73239,654796
