Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,31,374,9316,1091379200,0,3,0,907.8752913301024,1053490584,9778,0,0,1051348992,256677,1,266455
2,Yes,1,32,67,8963,1091379200,0,3,0,937.6581883327735,1046565984,11474,0,0,1044422656,254986,4,266460
3,No,2,33,10,8984,1091379200,0,4,0,939.1731837783489,1050473550,10538,0,0,1048330240,255940,41,266490
4,Yes,2,31,8,9090,1091379200,0,4,0,925.4800927254663,1047778318,11198,0,0,1045635072,255282,23,266481
5,No,1,33,73,8966,1091379200,0,3,0,936.2908174185604,1045141914,11932,0,0,1042997248,254638,59,266570
6,Yes,2,32,11,9113,1091379200,0,4,0,924.0417372536065,1048559031,11762,0,0,1046409216,255471,728,267233
7,Yes,2,33,12,9020,1091379200,0,4,0,939.3552927562034,1054904250,9522,0,0,1052762112,257022,49,266545
8,Yes,1,31,63,9051,1091379200,0,3,0,930.5242368070953,1048822257,10915,0,0,1046679552,255537,0,266452
9,No,1,33,77,8980,1091379200,0,3,0,936.36636995641,1046864919,11401,0,0,1044721664,255059,10,266460
10,Yes,2,32,56,8962,1091379200,0,4,0,939.4872223964165,1048358766,11271,0,0,1046212608,255423,208,266695
