Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,39,56,48068,8607571968,0,6,0,643.9178331424764,3865628791,1259367,0,0,3844218880,938530,115317,2206409
2,Yes,5,35,44,49498,8607571968,0,7,0,653.5745789782262,4040757489,1224097,0,0,4018278400,981025,156339,2214113
3,Yes,4,41,43,46417,8607571968,0,6,0,623.3691818181818,3613458737,1314798,0,0,3592478720,877070,76008,2199356
4,Yes,4,38,150,49017,8607571968,0,6,0,627.2409414647093,3839991849,1267495,0,0,3817877504,932099,221497,2208764
5,Yes,4,40,50,47218,8607571968,0,6,0,650.347236762898,3835047832,1265887,0,0,3814113280,931180,44762,2203587
6,Yes,4,39,39,46889,8607571968,0,6,0,646.5741916755603,3786287700,1269405,0,0,3765030912,919197,84172,2195722
7,Yes,4,36,54,49995,8607571968,0,6,0,659.9238104845973,4120929296,1202714,0,0,4099571712,1000872,105552,2212100
8,Yes,5,39,58,49525,8607571968,0,7,0,663.004502283474,4100967664,1216085,0,0,4078448640,995715,107243,2221990
9,Yes,5,35,26,52726,8607571968,0,7,0,661.611100491545,4357406376,1157504,0,0,4335489024,1058469,259474,2226285
10,Yes,4,37,44,48562,8607571968,0,6,0,654.4037794951056,3969155515,1237321,0,0,3947905024,963844,78555,2208955
