Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,4,43,46,67423,17197506560,0,6,0,509.08363122588304,4287544474,3277901,0,0,4247367680,1036955,124504,4323022
2,Yes,4,37,71,72263,17197506560,0,6,0,521.7176788414145,4709985224,3199479,0,0,4669763584,1140079,312070,4348984
3,Yes,5,44,45,69147,17197506560,0,7,0,494.5277715873406,4271456639,3291142,0,0,4230299648,1032788,161432,4333992
4,No,4,40,39,67222,17197506560,0,6,0,513.5086643446161,4312104976,3201644,0,0,4273270784,1043279,122099,4250653
5,Yes,6,45,50,72932,17197506560,0,8,0,488.87627050091237,4453878129,3249329,0,0,4411748352,1077087,345866,4339814
6,Yes,4,39,53,69475,17197506560,0,6,0,516.5285315974422,4482996980,3233873,0,0,4442947584,1084704,138076,4326937
7,Yes,10,35,43,107127,17197506560,0,12,0,609.7600324207224,8162340108,3162818,0,0,8078794752,1972362,803751,5914668
8,No,4,44,59,66632,17197506560,0,6,0,492.5505692316934,4099532253,3315406,0,0,4058816512,990922,203727,4314824
9,Yes,5,45,55,69999,17197506560,0,7,0,501.31250513194385,4383389437,3267209,0,0,4342853632,1060267,339430,4338648
10,Yes,8,36,62,107176,17197506560,0,10,0,611.0674558148218,8183508388,3167716,0,0,8105193472,1978807,620803,5817005
