Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,43,76,70207,17197506560,0,6,0,508.46579146000795,4459286814,3240164,0,0,4418813952,1078812,125595,4326960
2,Yes,3,44,68,65846,17197506560,0,5,0,478.17976718032884,3932935746,3289993,0,0,3894210560,950735,72761,4244717
3,Yes,4,43,44,67947,17197506560,0,6,0,499.37151284165884,4238452991,3288307,0,0,4197691392,1024827,150345,4321278
4,No,4,42,42,68674,17197506560,0,6,0,528.6989217857559,4535495640,3222925,0,0,4495200256,1097461,131768,4328386
5,Yes,4,42,61,69736,17197506560,0,6,0,510.68547467500787,4448751774,3245935,0,0,4408553472,1076307,221175,4331035
6,Yes,4,43,66,65941,17197506560,0,6,0,489.4389506206562,4031418586,3326895,0,0,3991212032,974417,92426,4308521
7,Yes,5,37,41,72976,17197506560,0,7,0,501.19682573109037,4569386973,3232947,0,0,4528398336,1105566,316534,4349254
8,No,4,40,48,68985,17197506560,0,6,0,494.88239599680907,4264745939,3286059,0,0,4224692224,1031419,131355,4325318
9,No,4,37,38,68344,17197506560,0,6,0,525.8353728900405,4489567192,3231742,0,0,4449624064,1086334,84150,4325286
10,Yes,4,45,56,69108,17197506560,0,6,0,488.8037814748852,4219569535,3295258,0,0,4179468288,1020378,178290,4324272
