Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,4,3,288,10689,1091379200,0,6,0,846.0115695302264,1129847544,19122,0,0,1127473152,275262,65455,No
2,3,3,215,10093,1091379200,0,5,0,882.8760404360753,1113315022,30344,0,0,1110872064,271209,20004,No
3,4,2,91,11338,1091379200,0,6,0,886.1714213126322,1255492494,37472,0,0,1252708352,305837,36266,Yes
4,4,1,67,10684,1091379200,0,6,0,835.9624405129645,1116110934,34568,0,0,1113624576,271881,80325,No
5,2,1,43,8886,1091379200,0,4,0,908.1786534608891,1008433559,29017,0,0,1006206976,245656,9275,Yes
Average,"=AVERAGEIF($R2:$R6, ""No"", B2:B6)","=AVERAGEIF($R2:$R6, ""No"", C2:C6)","=AVERAGEIF($R2:$R6, ""No"", D2:D6)","=AVERAGEIF($R2:$R6, ""No"", E2:E6)","=AVERAGEIF($R2:$R6, ""No"", F2:F6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", H2:H6)","=AVERAGEIF($R2:$R6, ""No"", I2:I6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", K2:K6)","=AVERAGEIF($R2:$R6, ""No"", L2:L6)","=AVERAGEIF($R2:$R6, ""No"", M2:M6)","=AVERAGEIF($R2:$R6, ""No"", N2:N6)","=AVERAGEIF($R2:$R6, ""No"", O2:O6)","=AVERAGEIF($R2:$R6, ""No"", P2:P6)","=AVERAGEIF($R2:$R6, ""No"", Q2:Q6)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,3,2,64,14840,2165121024,0,5,0,689.4835551961181,1278607240,251450,0,0,1273856000,311000,67000,Yes
2,3,2,57,14083,2165121024,0,5,0,686.6626415737518,1208399698,270556,0,0,1203613696,293851,42136,No
