Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,1,2,68,7503,1091379200,0,3,0,854.7354475403279,801208992,71738,0,0,799002624,195069,1378,No
2,1,2,26,7227,1091379200,0,3,0,845.0094372318339,762936816,81050,0,0,760721408,185723,1231,No
3,1,1,30,7247,1091379200,0,3,0,842.9719834391389,763309542,80968,0,0,761094144,185814,1791,Yes
4,1,3,26,7451,1091379200,0,3,0,821.780553168636,764865363,80557,0,0,762650624,186194,887,Yes
5,1,1,40,7270,1091379200,0,3,0,841.1475306094374,764075343,80785,0,0,761860096,186001,1396,No
Average,"=AVERAGEIF($R2:$R6, ""No"", B2:B6)","=AVERAGEIF($R2:$R6, ""No"", C2:C6)","=AVERAGEIF($R2:$R6, ""No"", D2:D6)","=AVERAGEIF($R2:$R6, ""No"", E2:E6)","=AVERAGEIF($R2:$R6, ""No"", F2:F6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", H2:H6)","=AVERAGEIF($R2:$R6, ""No"", I2:I6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", K2:K6)","=AVERAGEIF($R2:$R6, ""No"", L2:L6)","=AVERAGEIF($R2:$R6, ""No"", M2:M6)","=AVERAGEIF($R2:$R6, ""No"", N2:N6)","=AVERAGEIF($R2:$R6, ""No"", O2:O6)","=AVERAGEIF($R2:$R6, ""No"", P2:P6)","=AVERAGEIF($R2:$R6, ""No"", Q2:Q6)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,2,1,9,10281,2165121024,0,4,0,616.5949556420234,792112160,337322,0,0,787537920,192270,6288,Yes
2,1,2,21,10272,2165121024,0,3,0,614.6866991236611,788891718,337456,0,0,784322560,191485,855,No
3,1,2,20,10217,2165121024,0,3,0,618.25270680372,789219093,337351,0,0,784650240,191565,751,Yes
4,1,2,34,10251,2165121024,0,3,0,616.5949317982243,789722850,337236,0,0,785154048,191688,1824,No
5,1,2,22,10162,2165121024,0,3,0,622.0639047244094,789808827,337213,0,0,785240064,191709,916,No
Average,"=AVERAGEIF($R10:$R14, ""No"", B10:B14)","=AVERAGEIF($R10:$R14, ""No"", C10:C14)","=AVERAGEIF($R10:$R14, ""No"", D10:D14)","=AVERAGEIF($R10:$R14, ""No"", E10:E14)","=AVERAGEIF($R10:$R14, ""No"", F10:F14)","=AVERAGEIF($R10:$R14, ""No"", G10:G14)","=AVERAGEIF($R10:$R14, ""No"", H10:H14)","=AVERAGEIF($R10:$R14, ""No"", I10:I14)","=AVERAGEIF($R10:$R14, ""No"", G10:G14)","=AVERAGEIF($R10:$R14, ""No"", K10:K14)","=AVERAGEIF($R10:$R14, ""No"", L10:L14)","=AVERAGEIF($R10:$R14, ""No"", M10:M14)","=AVERAGEIF($R10:$R14, ""No"", N10:N14)","=AVERAGEIF($R10:$R14, ""No"", O10:O14)","=AVERAGEIF($R10:$R14, ""No"", P10:P14)","=AVERAGEIF($R10:$R14, ""No"", Q10:Q14)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,1,3,30,16195,4312604672,0,3,0,413.9143122529644,837550236,851078,0,0,828272640,202215,1512,No
2,1,3,179,16610,4312604672,0,3,0,404.20415342927686,838864965,850783,0,0,829587456,202536,547,Yes
3,1,2,219,16433,4312604672,0,3,0,407.3974706347757,836531148,851390,0,0,827252736,201966,1142,No
4,1,3,28,16094,4312604672,0,3,0,416.9578919893108,838446348,850782,0,0,829169664,202434,1383,No
5,1,2,62,16180,4312604672,0,3,0,416.3099048089999,841670373,850591,0,0,832389120,203220,3954,Yes
Average,"=AVERAGEIF($R18:$R22, ""No"", B18:B22)","=AVERAGEIF($R18:$R22, ""No"", C18:C22)","=AVERAGEIF($R18:$R22, ""No"", D18:D22)","=AVERAGEIF($R18:$R22, ""No"", E18:E22)","=AVERAGEIF($R18:$R22, ""No"", F18:F22)","=AVERAGEIF($R18:$R22, ""No"", G18:G22)","=AVERAGEIF($R18:$R22, ""No"", H18:H22)","=AVERAGEIF($R18:$R22, ""No"", I18:I22)","=AVERAGEIF($R18:$R22, ""No"", G18:G22)","=AVERAGEIF($R18:$R22, ""No"", K18:K22)","=AVERAGEIF($R18:$R22, ""No"", L18:L22)","=AVERAGEIF($R18:$R22, ""No"", M18:M22)","=AVERAGEIF($R18:$R22, ""No"", N18:N22)","=AVERAGEIF($R18:$R22, ""No"", O18:O22)","=AVERAGEIF($R18:$R22, ""No"", P18:P22)","=AVERAGEIF($R18:$R22, ""No"", Q18:Q22)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,1,5,83,27713,8607571968,0,3,0,267.36909946585826,925820544,1880434,0,0,907124736,221466,408,No
2,2,4,8,28203,8607571968,0,4,0,263.0414346608036,926975819,1880661,0,0,908275712,221747,4880,No
3,1,4,32,28015,8607571968,0,3,0,263.94698711220593,923965050,1880836,0,0,905269248,221013,1685,No
