Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,9,29,1681,29302,1091379200,0,11,0,539.5031219212243,1973896821,10649,0,0,1912487936,466916,102256,Yes
2,6,30,2444,24067,1091379200,0,8,0,548.8781784748513,1648960635,10017,0,0,1640456192,400502,102243,Yes
3,7,29,3513,28022,1091379200,0,9,0,505.65439274104244,1769135189,9320,0,0,1751961600,427725,124126,No
4,7,33,2624,29474,1091379200,0,9,0,526.8431517951157,1938636166,9124,0,0,1902796800,464550,86401,No
5,7,29,3322,28623,1091379200,0,9,0,495.77575519339723,1771814005,9156,0,0,1748451328,426868,129732,No
Average,"=AVERAGEIF($R2:$R6, ""No"", B2:B6)","=AVERAGEIF($R2:$R6, ""No"", C2:C6)","=AVERAGEIF($R2:$R6, ""No"", D2:D6)","=AVERAGEIF($R2:$R6, ""No"", E2:E6)","=AVERAGEIF($R2:$R6, ""No"", F2:F6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", H2:H6)","=AVERAGEIF($R2:$R6, ""No"", I2:I6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", K2:K6)","=AVERAGEIF($R2:$R6, ""No"", L2:L6)","=AVERAGEIF($R2:$R6, ""No"", M2:M6)","=AVERAGEIF($R2:$R6, ""No"", N2:N6)","=AVERAGEIF($R2:$R6, ""No"", O2:O6)","=AVERAGEIF($R2:$R6, ""No"", P2:P6)","=AVERAGEIF($R2:$R6, ""No"", Q2:Q6)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,11,29,2089,42065,2165121024,0,13,0,621.4043564563707,3264956599,16969,0,0,3247042560,792735,97497,No
2,7,30,1025,50866,2165121024,0,9,0,599.7472754740735,3810881324,16991,0,0,3772448768,921008,77371,Yes
3,10,29,1425,50282,2165121024,0,12,0,600.7142102561041,3773248835,16567,0,0,3746775040,914740,86799,Yes
4,5,29,848,46425,2165121024,0,7,0,617.8030549185274,3582736381,17830,0,0,3554856960,867885,78296,No
5,7,30,2396,41808,2165121024,0,9,0,616.0434619177557,3216920481,17335,0,0,3199672320,781170,83104,No
Average,"=AVERAGEIF($R10:$R14, ""No"", B10:B14)","=AVERAGEIF($R10:$R14, ""No"", C10:C14)","=AVERAGEIF($R10:$R14, ""No"", D10:D14)","=AVERAGEIF($R10:$R14, ""No"", E10:E14)","=AVERAGEIF($R10:$R14, ""No"", F10:F14)","=AVERAGEIF($R10:$R14, ""No"", G10:G14)","=AVERAGEIF($R10:$R14, ""No"", H10:H14)","=AVERAGEIF($R10:$R14, ""No"", I10:I14)","=AVERAGEIF($R10:$R14, ""No"", G10:G14)","=AVERAGEIF($R10:$R14, ""No"", K10:K14)","=AVERAGEIF($R10:$R14, ""No"", L10:L14)","=AVERAGEIF($R10:$R14, ""No"", M10:M14)","=AVERAGEIF($R10:$R14, ""No"", N10:N14)","=AVERAGEIF($R10:$R14, ""No"", O10:O14)","=AVERAGEIF($R10:$R14, ""No"", P10:P14)","=AVERAGEIF($R10:$R14, ""No"", Q10:Q14)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,12,31,3768,61724,4312604672,0,14,0,713.6848161055549,5503457052,429260,0,0,5470990336,1335691,34670,Yes
2,12,36,4972,56116,4312604672,0,14,0,735.323227104137,5154403204,424126,0,0,5126778880,1251655,37064,Yes
3,9,31,3796,49190,4312604672,0,11,0,785.6108475762322,4827267917,431088,0,0,4808552448,1173963,30827,No
4,8,31,4530,50004,4312604672,0,10,0,775.3184559662218,4842911136,427240,0,0,4821872640,1177215,28259,No
5,8,30,4061,49643,4312604672,0,10,0,782.2084361760022,4850750879,427422,0,0,4828471296,1178826,32411,No
Average,"=AVERAGEIF($R18:$R22, ""No"", B18:B22)","=AVERAGEIF($R18:$R22, ""No"", C18:C22)","=AVERAGEIF($R18:$R22, ""No"", D18:D22)","=AVERAGEIF($R18:$R22, ""No"", E18:E22)","=AVERAGEIF($R18:$R22, ""No"", F18:F22)","=AVERAGEIF($R18:$R22, ""No"", G18:G22)","=AVERAGEIF($R18:$R22, ""No"", H18:H22)","=AVERAGEIF($R18:$R22, ""No"", I18:I22)","=AVERAGEIF($R18:$R22, ""No"", G18:G22)","=AVERAGEIF($R18:$R22, ""No"", K18:K22)","=AVERAGEIF($R18:$R22, ""No"", L18:L22)","=AVERAGEIF($R18:$R22, ""No"", M18:M22)","=AVERAGEIF($R18:$R22, ""No"", N18:N22)","=AVERAGEIF($R18:$R22, ""No"", O18:O22)","=AVERAGEIF($R18:$R22, ""No"", P18:P22)","=AVERAGEIF($R18:$R22, ""No"", Q18:Q22)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,7,31,154,63563,8607571968,0,9,0,734.6017241075364,5833627104,1347263,0,0,5809848320,1418420,32083,No
2,7,31,158,63736,8607571968,0,9,0,735.2680538105329,5854818933,1343166,0,0,5831213056,1423636,31079,Yes
3,7,32,170,63832,8607571968,0,9,0,736.8764630721003,5876377305,1339260,0,0,5852782592,1428902,35804,No
4,7,32,159,63811,8607571968,0,9,0,737.1918664137098,5876957518,1338280,0,0,5853388800,1429050,35137,No
5,7,31,165,63772,8607571968,0,9,0,736.592131155771,5868677391,1340389,0,0,5845098496,1427026,36734,Yes
Average,"=AVERAGEIF($R26:$R30, ""No"", B26:B30)","=AVERAGEIF($R26:$R30, ""No"", C26:C30)","=AVERAGEIF($R26:$R30, ""No"", D26:D30)","=AVERAGEIF($R26:$R30, ""No"", E26:E30)","=AVERAGEIF($R26:$R30, ""No"", F26:F30)","=AVERAGEIF($R26:$R30, ""No"", G26:G30)","=AVERAGEIF($R26:$R30, ""No"", H26:H30)","=AVERAGEIF($R26:$R30, ""No"", I26:I30)","=AVERAGEIF($R26:$R30, ""No"", G26:G30)","=AVERAGEIF($R26:$R30, ""No"", K26:K30)","=AVERAGEIF($R26:$R30, ""No"", L26:L30)","=AVERAGEIF($R26:$R30, ""No"", M26:M30)","=AVERAGEIF($R26:$R30, ""No"", N26:N30)","=AVERAGEIF($R26:$R30, ""No"", O26:O30)","=AVERAGEIF($R26:$R30, ""No"", P26:P30)","=AVERAGEIF($R26:$R30, ""No"", Q26:Q30)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,7,37,115,79518,12902539264,0,9,0,669.1005756847549,6647385369,2265120,0,0,6613975040,1614740,19937,Yes
2,8,32,102,83082,12902539264,0,10,0,677.9017289825407,7037254810,2267982,0,0,7003082752,1709737,15936,No
