Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,1,1,52,7549,1091379200,0,3,0,862.9859215686274,814014885,70071,0,0,811798528,198193,1400,Yes
2,1,2,74,7561,1091379200,0,3,0,862.4357719275037,814681668,70286,0,0,812462080,198355,1826,Yes
3,1,2,106,7602,1091379200,0,3,0,858.8479810526317,815693250,69596,0,0,813477888,198603,1277,No
4,1,2,37,7531,1091379200,0,3,0,867.2479447469783,815976390,69592,0,0,813760512,198672,1419,No
5,1,1,31,7539,1091379200,0,3,0,866.931156274874,816653550,69136,0,0,814440448,198838,1155,No
Average,"=AVERAGEIF($R2:$R6, ""No"", B2:B6)","=AVERAGEIF($R2:$R6, ""No"", C2:C6)","=AVERAGEIF($R2:$R6, ""No"", D2:D6)","=AVERAGEIF($R2:$R6, ""No"", E2:E6)","=AVERAGEIF($R2:$R6, ""No"", F2:F6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", H2:H6)","=AVERAGEIF($R2:$R6, ""No"", I2:I6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", K2:K6)","=AVERAGEIF($R2:$R6, ""No"", L2:L6)","=AVERAGEIF($R2:$R6, ""No"", M2:M6)","=AVERAGEIF($R2:$R6, ""No"", N2:N6)","=AVERAGEIF($R2:$R6, ""No"", O2:O6)","=AVERAGEIF($R2:$R6, ""No"", P2:P6)","=AVERAGEIF($R2:$R6, ""No"", Q2:Q6)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,2,1,32,10795,2165121024,0,4,0,640.934965351121,864569144,326474,0,0,859951104,209949,6374,Yes
2,1,2,25,10510,2165121024,0,3,0,639.8291221926152,840203220,325966,0,0,835637248,204013,1056,No
