Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,1,29,47,7438,1091379200,0,3,0,849.7674471588608,786778545,75299,0,0,784568320,191545,980,Yes
2,1,29,39,7420,1091379200,0,3,0,847.7806608036802,783031026,76148,0,0,780820480,190630,1277,No
3,1,29,26,7398,1091379200,0,3,0,853.0501354322159,785553474,75524,0,0,783343616,191246,1240,No
4,1,29,24,7394,1091379200,0,3,0,854.0918593346911,786085986,75412,0,0,783876096,191376,1164,No
5,1,29,46,7448,1091379200,0,3,0,851.5842242889877,789525588,74550,0,0,787316736,192216,1540,Yes
Average,"=AVERAGEIF($R2:$R6, ""No"", B2:B6)","=AVERAGEIF($R2:$R6, ""No"", C2:C6)","=AVERAGEIF($R2:$R6, ""No"", D2:D6)","=AVERAGEIF($R2:$R6, ""No"", E2:E6)","=AVERAGEIF($R2:$R6, ""No"", F2:F6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", H2:H6)","=AVERAGEIF($R2:$R6, ""No"", I2:I6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", K2:K6)","=AVERAGEIF($R2:$R6, ""No"", L2:L6)","=AVERAGEIF($R2:$R6, ""No"", M2:M6)","=AVERAGEIF($R2:$R6, ""No"", N2:N6)","=AVERAGEIF($R2:$R6, ""No"", O2:O6)","=AVERAGEIF($R2:$R6, ""No"", P2:P6)","=AVERAGEIF($R2:$R6, ""No"", Q2:Q6)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,2,30,9,10463,2165121024,0,4,0,625.0387961276718,814916362,331963,0,0,810344448,197838,5744,No
2,1,30,30,10381,2165121024,0,3,0,629.7838315138634,814649223,331161,0,0,810086400,197775,1603,No
3,2,30,8,10546,2165121024,0,4,0,621.2809281095474,816461422,331333,0,0,811892736,198216,6850,Yes
4,1,30,25,10387,2165121024,0,3,0,628.0841880853529,812921160,331586,0,0,808357888,197353,1062,No
5,2,31,9,10524,2165121024,0,4,0,621.5968519965692,815089613,331167,0,0,810524672,197882,6490,Yes
Average,"=AVERAGEIF($R10:$R14, ""No"", B10:B14)","=AVERAGEIF($R10:$R14, ""No"", C10:C14)","=AVERAGEIF($R10:$R14, ""No"", D10:D14)","=AVERAGEIF($R10:$R14, ""No"", E10:E14)","=AVERAGEIF($R10:$R14, ""No"", F10:F14)","=AVERAGEIF($R10:$R14, ""No"", G10:G14)","=AVERAGEIF($R10:$R14, ""No"", H10:H14)","=AVERAGEIF($R10:$R14, ""No"", I10:I14)","=AVERAGEIF($R10:$R14, ""No"", G10:G14)","=AVERAGEIF($R10:$R14, ""No"", K10:K14)","=AVERAGEIF($R10:$R14, ""No"", L10:L14)","=AVERAGEIF($R10:$R14, ""No"", M10:M14)","=AVERAGEIF($R10:$R14, ""No"", N10:N14)","=AVERAGEIF($R10:$R14, ""No"", O10:O14)","=AVERAGEIF($R10:$R14, ""No"", P10:P14)","=AVERAGEIF($R10:$R14, ""No"", Q10:Q14)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,1,30,36,16334,4312604672,0,3,0,423.76796663395487,863426784,844786,0,0,854155264,208534,531,No
2,1,30,20,16200,4312604672,0,3,0,426.0721548546691,860986011,845365,0,0,851714048,207938,603,No
3,1,31,19,16292,4312604672,0,3,0,424.2900436627514,862210218,845044,0,0,852938752,208237,629,No
4,1,30,19,16443,4312604672,0,3,0,420.5024768171571,862501062,844984,0,0,853229568,208308,496,Yes
5,1,30,248,17270,4312604672,0,3,0,400.1600538283063,862132584,845082,0,0,852860928,208218,751,Yes
Average,"=AVERAGEIF($R18:$R22, ""No"", B18:B22)","=AVERAGEIF($R18:$R22, ""No"", C18:C22)","=AVERAGEIF($R18:$R22, ""No"", D18:D22)","=AVERAGEIF($R18:$R22, ""No"", E18:E22)","=AVERAGEIF($R18:$R22, ""No"", F18:F22)","=AVERAGEIF($R18:$R22, ""No"", G18:G22)","=AVERAGEIF($R18:$R22, ""No"", H18:H22)","=AVERAGEIF($R18:$R22, ""No"", I18:I22)","=AVERAGEIF($R18:$R22, ""No"", G18:G22)","=AVERAGEIF($R18:$R22, ""No"", K18:K22)","=AVERAGEIF($R18:$R22, ""No"", L18:L22)","=AVERAGEIF($R18:$R22, ""No"", M18:M22)","=AVERAGEIF($R18:$R22, ""No"", N18:N22)","=AVERAGEIF($R18:$R22, ""No"", O18:O22)","=AVERAGEIF($R18:$R22, ""No"", P18:P22)","=AVERAGEIF($R18:$R22, ""No"", Q18:Q22)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,1,31,24,28361,8607571968,0,3,0,267.8991599011648,948485568,1874810,0,0,929796096,227001,982,No
2,2,32,9,28549,8607571968,0,4,0,266.47289658800014,949663591,1875144,0,0,930967552,227287,6388,Yes
3,1,31,24,28388,8607571968,0,3,0,267.57708022710443,948248076,1874870,0,0,929558528,226943,836,No
4,1,31,39,27961,8607571968,0,3,0,272.7270619405657,951946023,1874441,0,0,933253120,227845,1649,No
5,1,31,20,28023,8607571968,0,3,0,272.50454587024865,953281074,1873668,0,0,934592512,228172,476,Yes
