Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,3,142,13856,2165121024,0,5,0,900.9128113765971,1559830763,12731,0,0,45056,11,0,631354
2,No,3,4,118,14222,2165121024,0,5,0,875.075974117316,1555016391,11456,0,0,28672,7,0,591126
3,Yes,3,3,145,14058,2165121024,0,5,0,904.8160643187477,1589436339,11918,0,0,28672,7,0,601767
4,Yes,3,3,70,13671,2165121024,0,5,0,905.0384120573602,1546045743,11374,0,0,28672,7,0,588795
5,Yes,3,3,84,16518,2165121024,0,5,0,772.9496821071754,1595445616,11779,0,0,28672,7,0,605012
6,No,4,3,38,14215,2165121024,0,6,0,906.6123270475655,1610384389,12095,0,0,28672,7,0,611851
7,Yes,3,3,478,14383,2165121024,0,5,0,886.5822609179415,1593419230,11706,0,0,28672,7,0,604904
8,Yes,3,3,34,13588,2165121024,0,5,0,914.67001840265,1553011641,12086,0,0,28672,7,0,589184
9,No,3,2,75,14250,2165121024,0,5,0,880.9026372824256,1568675213,12224,0,0,28672,7,0,598340
10,Yes,3,3,212,13929,2165121024,0,5,0,896.1492816314807,1559759478,12440,0,0,28672,7,0,602114
11,Yes,3,3,44,13487,2165121024,0,5,0,922.3765215069712,1554453243,11923,0,0,32768,8,0,588283
