Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,5,56,10095,8607571968,0,4,0,304.45678255698715,383783759,1820766,0,0,32768,8,0,2116865
2,No,2,5,32,9963,8607571968,0,4,0,292.70060735087367,364126723,1833388,0,0,32768,8,0,2114700
3,Yes,2,5,16,10123,8607571968,0,4,0,285.76998220992294,361215227,1841185,0,0,32768,8,0,2117932
4,Yes,2,5,34,9574,8607571968,0,4,0,301.8218037412478,360804247,1838117,0,0,32768,8,0,2116180
5,Yes,2,5,51,9838,8607571968,0,4,0,301.9165707312112,370880847,1832944,0,0,32768,8,0,2118174
6,Yes,2,5,6363,16164,8607571968,0,4,0,183.97552026734326,371395196,1830988,0,0,32768,8,0,2118108
7,Yes,2,5,4139,13693,8607571968,0,4,0,215.50429105786088,368515484,1832461,0,0,32768,8,0,2116751
8,No,2,7,26,9995,8607571968,0,4,0,285.17397276732083,355827347,1839225,0,0,32768,8,0,2113902
9,No,2,5,39,9919,8607571968,0,4,0,300.1965987492435,371806277,1828476,0,0,32768,8,0,2117025
10,Yes,2,6,58,9292,8607571968,0,4,0,312.49142106396727,362512059,1834150,0,0,32768,8,0,2114366
