Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,6,35,9441,8607571968,0,3,0,228.76284048754638,269584843,1872127,0,0,32768,8,0,2102425
2,Yes,2,5,9,8686,8607571968,0,4,0,244.80663241562033,265433439,1882708,0,0,32768,8,0,2108260
3,Yes,1,5,25,8553,8607571968,0,3,0,239.61332522227423,255814506,1882731,0,0,32768,8,0,2102290
4,Yes,1,5,31,9035,8607571968,0,3,0,227.48538737541529,256561799,1882451,0,0,32768,8,0,2102455
5,Yes,1,5,28,8458,8607571968,0,3,0,242.349050987815,255859734,1883253,0,0,32768,8,0,2102331
6,No,1,6,33,8924,8607571968,0,3,0,230.05424983180083,256240643,1883271,0,0,32768,8,0,2102650
7,No,2,6,26,8860,8607571968,0,4,0,239.69169731194938,265066428,1882576,0,0,32768,8,0,2108545
8,No,1,5,23,9004,8607571968,0,3,0,228.90675763973775,257279157,1881564,0,0,32768,8,0,2102253
9,Yes,1,5,23,9032,8607571968,0,3,0,228.31893297884125,257417044,1881757,0,0,32768,8,0,2102244
10,Yes,1,10,55,8582,8607571968,0,3,0,240.1746355576295,257134790,1881839,0,0,32768,8,0,2102391
