Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,8,88,52381,12902539264,0,6,0,399.69324010463407,2616429348,2177653,0,0,28672,7,106249,3236298
2,No,6,7,66,55728,12902539264,0,8,0,388.1546293856894,2703333051,2172221,0,0,28672,7,231496,3248726
3,Yes,4,14,74,50465,12902539264,0,6,0,384.4669771461418,2424380523,2217995,0,0,28672,7,56014,3196180
4,Yes,4,8,84,53234,12902539264,0,6,0,343.7283315672791,2286698112,2300421,0,0,28672,7,136858,3233691
5,Yes,5,8,59,54777,12902539264,0,7,0,354.17497810805384,2424513736,2268753,0,0,28672,7,198084,3248752
1,Yes,5,7,97,54399,12902539264,0,7,0,335.92626842182676,2283750263,2293286,0,0,36864,9,203298,3241996
2,Yes,5,7,92,58136,12902539264,0,7,0,368.55718102840234,2677770111,2180284,0,0,36864,9,247045,3247459
3,No,5,8,68,55483,12902539264,0,7,0,389.1267406219018,2698138306,2162003,0,0,36864,9,205331,3235508
4,Yes,4,9,60,52766,12902539264,0,6,0,336.50435195329527,2218907602,2294959,0,0,28672,7,97424,3204063
5,Yes,4,9,130,51442,12902539264,0,6,0,323.3461105515914,2078620153,2319818,0,0,28672,7,108447,3204562
6,Yes,4,7,95,52140,12902539264,0,6,0,395.83652504172017,2579305785,2189720,0,0,28672,7,141553,3233163
7,Yes,6,8,105,53199,12902539264,0,8,0,370.41410584497373,2462624626,2231409,0,0,28672,7,172529,3247183
8,No,5,7,109,55139,12902539264,0,7,0,367.1131765218022,2529748020,2235588,0,0,28672,7,196278,3252724
9,Yes,4,8,72,53557,12902539264,0,6,0,386.0258245718874,2583699700,2192284,0,0,28672,7,146538,3237337
10,Yes,8,10,87,54054,12902539264,0,10,0,344.34033543039004,2325978622,2302505,0,0,28672,7,193195,3256072
